CdId,Real CAS,Name,vapor_pressure,maximalProjectionArea,minimalProjectionArea,maximalProjectionRadius,minimalProjectionRadius,acceptorSiteCount,donorSiteCount
1,"6485-40-1","(-)-carvone",0.0656,47.5674,33.7124,4.99618,3.8134,2,0
2,"687-47-8","(-)-ethyl-L-lactate",1.16,40.2389,26.1953,4.45345,3.51665,3,1
3,"89-79-2","(-)-Isopulegol",0.0993,52.6444,31.9544,5.37665,3.63714,1,1
4,"14073-97-3","(-)-menthone",0.256,58.4598,29.606,5.46268,3.5265,2,0
5,"2244-16-8","(+)-Carvone",0.0656,52.1078,31.1673,5.26009,3.55846,2,0
6,"104870-56-6","(+)-Isopulegol",0.0993,52.2384,31.8716,5.41229,3.64881,1,1
7,"3391-87-5","(+)-Menthone",0.256,58.829,30.9811,5.49036,3.55275,2,0
8,"7785-70-8","(+)-alpha-Pinene",3.489,44.0133,34.5508,4.4477,3.77349,0,0
9,,"(1S,2R)-2-tert-butylcyclohexan-1-ol",0.0543,51.0456,35.1474,4.8513,3.85902,1,1
10,,"(1R,2S)-2-tert-butylcyclohexan-1-ol",0.0543,49.0474,34.3628,4.54177,3.61742,1,1
11,,"(2R)-2-methylbutanoic acid",0.554,35.2059,28.0202,4.01946,3.52204,3,1
12,"1730-91-2 ","(2S)-2-methylbutanoic acid",0.554,34.8854,28.0169,4.02745,3.50869,3,1
13,"7785-26-4","(-)-alpha-Pinene",3.49,43.8223,35.737,4.40022,3.7481,0,0
14,,"Ethylhexyl tiglate",0.00801,73.0741,41.0074,7.17098,4.80909,2,0
15,"111-87-5","1-Octanol",0.114,55.8097,22.9915,6.83565,3.19297,1,1
16,"71-41-0","1-Pentanol",2.813,38.3965,19.1135,5.17816,2.70273,1,1
17,"1445-91-6","(1S)-1-phenylethanol",0.139,44.7354,26.2546,4.75412,3.33794,1,1
18,"1517-69-7","(1R)-1-phenylethanol",0.139,45.2578,26.8973,4.74711,3.34271,1,1
19,"71-23-8","1-Propanol",26.317,26.891,18.3051,3.65756,2.72898,1,1
20,,"1,4-Cineole",1.689,50.1415,33.4592,5.13234,3.61118,1,0
21,"78-93-3","2-butanone",115.0,29.1567,21.6549,3.66731,3.05443,2,0
22,"110-43-0","2-heptanone",4.732,45.4401,22.6581,5.55402,2.94127,2,0
23,"591-78-6","2-hexanone",13.3,39.882,23.8157,4.89426,2.95633,2,0
24,"623-36-9","2-Methyl-2-pentenal",7.341,38.2421,23.4774,4.58543,3.0619,2,0
25,"111-13-7","2-Octanone",1.72,51.174,25.2074,5.94918,3.37942,2,0
26,"60-12-8","2-Phenylethyl alcohol",0.0741,45.4693,24.9129,5.12448,3.33644,1,1
27,"64-04-0","2-Phenylethylamine",0.398,46.6785,24.872,5.12218,3.36039,1,2
28,,"(2R)-2-[(2R)-butan-2-yl]cyclohexan-1-one",0.163,58.5555,29.0664,5.44516,3.56281,2,0
29,,"(2R)-2-[(2S)-butan-2-yl]cyclohexan-1-one",0.163,58.5109,31.0557,5.41157,3.60281,2,0
30,,"(2S)-2-[(2R)-butan-2-yl]cyclohexan-1-one",0.163,57.6922,30.5735,5.41864,3.76778,2,0
31,,"(2S)-2-[(2S)-butan-2-yl]cyclohexan-1-one",0.163,58.4135,31.5891,5.41096,3.60949,2,0
32,,"(2R)-2-tert-butylcyclohexan-1-one",0.348,53.5407,33.9751,4.88013,3.58312,2,0
33,,"(2S)-2-tert-butylcyclohexan-1-one",0.348,53.8495,33.369,4.91016,3.58108,2,0
34,"87-40-1","2,4,6-trichloroanisole",0.0436,56.5572,28.8177,5.28046,4.22175,1,0
35,"118-93-4","2'-Hydroxyacetophenone",0.0856,48.79,24.254,4.82084,3.95896,3,1
36,"577-16-2","2'-Methylacetophenone",0.159,50.4518,27.4032,4.77249,4.10048,2,0
37,"89-74-7","2',4'-dimethylacetophenone",0.0631,55.624,29.2095,5.34309,4.00813,2,0
38,,"3-Heptoanol, (3R)-heptan-3-ol",1.03,49.0608,27.8812,5.55602,3.54769,1,1
39,,"3-Heptanol,  (3S)-heptan-3-ol",1.03,48.6665,26.5977,5.51952,3.36499,1,1
40,"103-58-2","3-Phenylpropyl isobutyrate",0.00193,69.7773,33.6943,6.90895,3.75332,2,0
41,"122-84-9","4-Methoxyphenylacetone",0.00789,56.6048,25.4958,6.25121,3.38986,3,0
42,"1759-28-0","4-Methyl-5-vinylthiazole",0.962,43.8288,23.9731,4.5045,3.94103,1,0
43,,"5-Methyl-3-heptanone, (5S)-5-methylheptan-3-one",2.44,46.3304,31.4262,4.69798,3.78793,2,0
