molid,identifiere,MW,AMW,Sv,Se,Sp,Ss,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nTB,nAB,nH,nC,nN,nO,nP,nS,nF,nCL,nBR,nI,nB,nHM,nX,nR03,nR04,nR05,nR06,nR07,nR08,nR09,nR10,nR11,nR12,nBnz
1,C10H14O,150.24000000000001,6.0099999999999998,14.699999999999999,24.510000000000002,15.779999999999999,25.329999999999998,0.58999999999999997,0.97999999999999998,0.63,2.2999999999999998,25.0,11.0,25.0,11.0,3.0,14.0,0.0,1.0,1.0,1.0,0.040000000000000001,3.0,0.0,0.0,14.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,C5H10O3,118.15000000000001,6.5599999999999996,9.5199999999999996,18.399999999999999,10.17,25.0,0.53000000000000003,1.02,0.56999999999999995,3.1299999999999999,18.0,8.0,17.0,7.0,1.0,8.0,0.0,0.0,0.0,3.0,0.17599999999999999,1.0,0.0,0.0,10.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,C10H18O,154.28,5.3200000000000003,15.890000000000001,28.280000000000001,17.309999999999999,23.170000000000002,0.55000000000000004,0.97999999999999998,0.59999999999999998,2.1099999999999999,29.0,11.0,29.0,11.0,1.0,12.0,0.0,1.0,1.0,1.0,0.034000000000000002,1.0,0.0,0.0,18.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,C10H18O,154.28,5.3200000000000003,15.890000000000001,28.280000000000001,17.309999999999999,23.170000000000002,0.55000000000000004,0.97999999999999998,0.59999999999999998,2.1099999999999999,29.0,11.0,29.0,11.0,1.0,12.0,0.0,1.0,1.0,1.0,0.034000000000000002,1.0,0.0,0.0,18.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,C10H14O,150.24000000000001,6.0099999999999998,14.699999999999999,24.510000000000002,15.779999999999999,25.329999999999998,0.58999999999999997,0.97999999999999998,0.63,2.2999999999999998,25.0,11.0,25.0,11.0,3.0,14.0,0.0,1.0,1.0,1.0,0.040000000000000001,3.0,0.0,0.0,14.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C10H18O,154.28,5.3200000000000003,15.890000000000001,28.280000000000001,17.309999999999999,23.170000000000002,0.55000000000000004,0.97999999999999998,0.59999999999999998,2.1099999999999999,29.0,11.0,29.0,11.0,1.0,12.0,0.0,1.0,1.0,1.0,0.034000000000000002,1.0,0.0,0.0,18.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,C10H18O,154.28,5.3200000000000003,15.890000000000001,28.280000000000001,17.309999999999999,23.170000000000002,0.55000000000000004,0.97999999999999998,0.59999999999999998,2.1099999999999999,29.0,11.0,29.0,11.0,1.0,12.0,0.0,1.0,1.0,1.0,0.034000000000000002,1.0,0.0,0.0,18.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,C10H16,136.25999999999999,5.2400000000000002,14.779999999999999,25.07,16.09,16.579999999999998,0.56999999999999995,0.95999999999999996,0.62,1.6599999999999999,26.0,10.0,27.0,11.0,1.0,12.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,C10H20O,156.30000000000001,5.04,16.489999999999998,30.16,18.07,21.920000000000002,0.53000000000000003,0.96999999999999997,0.57999999999999996,1.99,31.0,11.0,31.0,11.0,0.0,11.0,0.0,1.0,1.0,1.0,0.032000000000000001,0.0,0.0,0.0,20.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,C10H20O,156.30000000000001,5.04,16.489999999999998,30.16,18.07,21.920000000000002,0.53000000000000003,0.96999999999999997,0.57999999999999996,1.99,31.0,11.0,31.0,11.0,0.0,11.0,0.0,1.0,1.0,1.0,0.032000000000000001,0.0,0.0,0.0,20.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
