molid,identifiere,EPS0,EPS1,EEig01x,EEig02x,EEig03x,EEig04x,EEig05x,EEig06x,EEig07x,EEig08x,EEig09x,EEig10x,EEig11x,EEig12x,EEig13x,EEig14x,EEig15x,EEig01d,EEig02d,EEig03d,EEig04d,EEig05d,EEig06d,EEig07d,EEig08d,EEig09d,EEig10d,EEig11d,EEig12d,EEig13d,EEig14d,EEig15d,EEig01r,EEig02r,EEig03r,EEig04r,EEig05r,EEig06r,EEig07r,EEig08r,EEig09r,EEig10r,EEig11r,EEig12r,EEig13r,EEig14r,EEig15r,ESpm01u,ESpm02u,ESpm03u,ESpm04u,ESpm05u,ESpm06u,ESpm07u,ESpm08u,ESpm09u,ESpm10u,ESpm11u,ESpm12u,ESpm13u,ESpm14u,ESpm15u,ESpm01x,ESpm02x,ESpm03x,ESpm04x,ESpm05x,ESpm06x,ESpm07x,ESpm08x,ESpm09x,ESpm10x,ESpm11x,ESpm12x,ESpm13x,ESpm14x,ESpm15x,ESpm01d,ESpm02d,ESpm03d,ESpm04d,ESpm05d,ESpm06d,ESpm07d,ESpm08d,ESpm09d,ESpm10d,ESpm11d,ESpm12d,ESpm13d,ESpm14d,ESpm15d,ESpm01r,ESpm02r,ESpm03r,ESpm04r,ESpm05r,ESpm06r,ESpm07r,ESpm08r,ESpm09r,ESpm10r,ESpm11r,ESpm12r,ESpm13r,ESpm14r,ESpm15r
1,C10H14O,6.8449999999999998,5.3689999999999998,4.1619999999999999,3.7509999999999999,2.9100000000000001,2.5139999999999998,1.3360000000000001,0.65100000000000002,0.433,0.13500000000000001,-0.26600000000000001,-0.71499999999999997,-0.90900000000000003,0.0,0.0,0.0,0.0,3.653,3.0,2.194,1.5409999999999999,1.006,0.189,-0.65200000000000002,-0.86899999999999999,-1.093,-1.3620000000000001,-1.8069999999999999,0.0,0.0,0.0,0.0,3.9100000000000001,3.46,2.4470000000000001,2.234,1.1220000000000001,0.39100000000000001,0.0,-0.216,-0.36499999999999999,-0.78300000000000003,-1.0,0.0,0.0,0.0,0.0,0.0,3.4340000000000002,3.2189999999999999,4.9900000000000002,5.4850000000000003,6.8300000000000001,7.6230000000000002,8.7989999999999995,9.7260000000000009,10.83,11.821,12.895,13.917999999999999,14.981,16.02,2.7080000000000002,3.9319999999999999,5.1239999999999997,6.4219999999999997,7.7430000000000003,9.0879999999999992,10.448,11.82,13.201000000000001,14.587999999999999,15.98,17.376999999999999,18.777000000000001,20.18,21.585000000000001,1.917,3.665,4.3979999999999997,5.7240000000000002,6.8339999999999996,8.0939999999999994,9.3109999999999999,10.57,11.824,13.092000000000001,14.362,15.638,16.917000000000002,18.199000000000002,19.484000000000002,2.5009999999999999,3.7480000000000002,4.851,6.0910000000000002,7.3490000000000002,8.6359999999999992,9.9380000000000006,11.253,12.574999999999999,13.903,15.237,16.574000000000002,17.914000000000001,19.257000000000001,20.602
2,C5H10O3,4.9059999999999997,3.3730000000000002,3.8540000000000001,2.4620000000000002,2.0,0.66400000000000003,0.0,-0.20499999999999999,-0.77500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8100000000000001,2.1269999999999998,1.792,0.29999999999999999,-0.45200000000000001,-0.78300000000000003,-1.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.605,2.2989999999999999,1.7110000000000001,0.39400000000000002,-0.098000000000000004,-0.40500000000000003,-0.90600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8330000000000002,2.5649999999999999,4.234,4.71,5.9640000000000004,6.7350000000000003,7.8239999999999998,8.7129999999999992,9.7349999999999994,10.670999999999999,11.664,12.619999999999999,13.601000000000001,14.566000000000001,2.1970000000000001,3.2959999999999998,4.3940000000000001,5.617,6.8810000000000002,8.1790000000000003,9.4969999999999999,10.826000000000001,12.163,13.505000000000001,14.849,16.196000000000002,17.542999999999999,18.890999999999998,20.239999999999998,1.8959999999999999,3.2360000000000002,4.2439999999999998,5.4989999999999997,6.7610000000000001,8.0660000000000007,9.3840000000000003,10.712,12.044,13.379,14.714,16.050999999999998,17.388000000000002,18.725000000000001,20.062999999999999,2.028,3.1509999999999998,4.1630000000000003,5.3330000000000002,6.5339999999999998,7.7699999999999996,9.0239999999999991,10.288,11.558999999999999,12.835000000000001,14.113,15.393000000000001,16.672999999999998,17.954000000000001,19.236000000000001
3,C10H18O,6.8449999999999998,5.3849999999999998,4.0439999999999996,3.3650000000000002,2.8290000000000002,2.2559999999999998,1.0,0.48599999999999999,0.41499999999999998,-0.155,-0.496,-0.74399999999999999,-1.0,0.0,0.0,0.0,0.0,3.2440000000000002,2.4169999999999998,1.9850000000000001,1.254,0.20599999999999999,-0.316,-0.68300000000000005,-1.0580000000000001,-1.2569999999999999,-1.573,-2.0,0.0,0.0,0.0,0.0,3.944,3.2509999999999999,2.653,2.1400000000000001,0.877,0.433,0.0,-0.16800000000000001,-0.55700000000000005,-0.77400000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,3.4340000000000002,3.2189999999999999,4.9900000000000002,5.4850000000000003,6.843,7.657,8.8510000000000009,9.8100000000000005,10.938000000000001,11.964,13.064,14.121,15.211,16.282,2.5649999999999999,3.8069999999999999,4.9340000000000002,6.1920000000000002,7.4690000000000003,8.7750000000000004,10.099,11.436999999999999,12.787000000000001,14.146000000000001,15.512,16.882999999999999,18.260000000000002,19.640000000000001,21.023,1.169,3.4860000000000002,3.7770000000000001,5.2469999999999999,6.0650000000000004,7.3239999999999998,8.3510000000000009,9.5459999999999994,10.659000000000001,11.836,12.984,14.157999999999999,15.321999999999999,16.495000000000001,17.666,2.468,3.7290000000000001,4.8230000000000004,6.0579999999999998,7.3090000000000002,8.593,9.8940000000000001,11.211,12.539,13.875999999999999,15.220000000000001,16.568999999999999,17.922000000000001,19.279,20.638999999999999
4,C10H18O,6.8449999999999998,5.3849999999999998,4.0730000000000004,3.2549999999999999,2.9500000000000002,2.1539999999999999,1.143,0.66300000000000003,0.0,-0.11700000000000001,-0.34899999999999998,-0.77100000000000002,-1.0,0.0,0.0,0.0,0.0,3.7770000000000001,2.4140000000000001,2.2519999999999998,1.218,0.76100000000000001,-0.045999999999999999,-0.89200000000000002,-1.0,-1.2310000000000001,-1.5940000000000001,-1.899,0.0,0.0,0.0,0.0,3.9740000000000002,3.2519999999999998,2.7360000000000002,2.1440000000000001,0.93500000000000005,0.53500000000000003,0.0,-0.151,-0.45300000000000001,-0.77200000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,3.4340000000000002,3.2189999999999999,4.9900000000000002,5.4850000000000003,6.843,7.657,8.8510000000000009,9.8100000000000005,10.938000000000001,11.964,13.064,14.121,15.211,16.282,2.5649999999999999,3.8069999999999999,4.9340000000000002,6.1920000000000002,7.4720000000000004,8.782,10.112,11.457000000000001,12.814,14.182,15.557,16.937999999999999,18.324999999999999,19.715,21.108000000000001,1.5600000000000001,3.629,4.2210000000000001,5.6699999999999999,6.7720000000000002,8.1029999999999998,9.3599999999999994,10.679,11.984999999999999,13.307,14.628,15.954000000000001,17.280000000000001,18.606999999999999,19.934999999999999,2.5009999999999999,3.7480000000000002,4.851,6.0910000000000002,7.3490000000000002,8.6379999999999999,9.9459999999999997,11.269,12.603999999999999,13.948,15.298999999999999,16.655999999999999,18.016999999999999,19.382000000000001,20.75
5,C10H14O,6.8449999999999998,5.3689999999999998,4.1619999999999999,3.7509999999999999,2.9100000000000001,2.5139999999999998,1.3360000000000001,0.65100000000000002,0.433,0.13500000000000001,-0.26600000000000001,-0.71499999999999997,-0.90900000000000003,0.0,0.0,0.0,0.0,3.653,3.0,2.194,1.5409999999999999,1.006,0.189,-0.65200000000000002,-0.86899999999999999,-1.093,-1.3620000000000001,-1.8069999999999999,0.0,0.0,0.0,0.0,3.9100000000000001,3.46,2.4470000000000001,2.234,1.1220000000000001,0.39100000000000001,0.0,-0.216,-0.36499999999999999,-0.78300000000000003,-1.0,0.0,0.0,0.0,0.0,0.0,3.4340000000000002,3.2189999999999999,4.9900000000000002,5.4850000000000003,6.8300000000000001,7.6230000000000002,8.7989999999999995,9.7260000000000009,10.83,11.821,12.895,13.917999999999999,14.981,16.02,2.7080000000000002,3.9319999999999999,5.1239999999999997,6.4219999999999997,7.7430000000000003,9.0879999999999992,10.448,11.82,13.201000000000001,14.587999999999999,15.98,17.376999999999999,18.777000000000001,20.18,21.585000000000001,1.917,3.665,4.3979999999999997,5.7240000000000002,6.8339999999999996,8.0939999999999994,9.3109999999999999,10.57,11.824,13.092000000000001,14.362,15.638,16.917000000000002,18.199000000000002,19.484000000000002,2.5009999999999999,3.7480000000000002,4.851,6.0910000000000002,7.3490000000000002,8.6359999999999992,9.9380000000000006,11.253,12.574999999999999,13.903,15.237,16.574000000000002,17.914000000000001,19.257000000000001,20.602
6,C10H18O,6.8449999999999998,5.3849999999999998,4.0439999999999996,3.3650000000000002,2.8290000000000002,2.2559999999999998,1.0,0.48599999999999999,0.41499999999999998,-0.155,-0.496,-0.74399999999999999,-1.0,0.0,0.0,0.0,0.0,3.2440000000000002,2.4169999999999998,1.9850000000000001,1.254,0.20599999999999999,-0.316,-0.68300000000000005,-1.0580000000000001,-1.2569999999999999,-1.573,-2.0,0.0,0.0,0.0,0.0,3.944,3.2509999999999999,2.653,2.1400000000000001,0.877,0.433,0.0,-0.16800000000000001,-0.55700000000000005,-0.77400000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,3.4340000000000002,3.2189999999999999,4.9900000000000002,5.4850000000000003,6.843,7.657,8.8510000000000009,9.8100000000000005,10.938000000000001,11.964,13.064,14.121,15.211,16.282,2.5649999999999999,3.8069999999999999,4.9340000000000002,6.1920000000000002,7.4690000000000003,8.7750000000000004,10.099,11.436999999999999,12.787000000000001,14.146000000000001,15.512,16.882999999999999,18.260000000000002,19.640000000000001,21.023,1.169,3.4860000000000002,3.7770000000000001,5.2469999999999999,6.0650000000000004,7.3239999999999998,8.3510000000000009,9.5459999999999994,10.659000000000001,11.836,12.984,14.157999999999999,15.321999999999999,16.495000000000001,17.666,2.468,3.7290000000000001,4.8230000000000004,6.0579999999999998,7.3090000000000002,8.593,9.8940000000000001,11.211,12.539,13.875999999999999,15.220000000000001,16.568999999999999,17.922000000000001,19.279,20.638999999999999
7,C10H18O,6.8449999999999998,5.3849999999999998,4.0730000000000004,3.2549999999999999,2.9500000000000002,2.1539999999999999,1.143,0.66300000000000003,0.0,-0.11700000000000001,-0.34899999999999998,-0.77100000000000002,-1.0,0.0,0.0,0.0,0.0,3.7770000000000001,2.4140000000000001,2.2519999999999998,1.218,0.76100000000000001,-0.045999999999999999,-0.89200000000000002,-1.0,-1.2310000000000001,-1.5940000000000001,-1.899,0.0,0.0,0.0,0.0,3.9740000000000002,3.2519999999999998,2.7360000000000002,2.1440000000000001,0.93500000000000005,0.53500000000000003,0.0,-0.151,-0.45300000000000001,-0.77200000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,3.4340000000000002,3.2189999999999999,4.9900000000000002,5.4850000000000003,6.843,7.657,8.8510000000000009,9.8100000000000005,10.938000000000001,11.964,13.064,14.121,15.211,16.282,2.5649999999999999,3.8069999999999999,4.9340000000000002,6.1920000000000002,7.4720000000000004,8.782,10.112,11.457000000000001,12.814,14.182,15.557,16.937999999999999,18.324999999999999,19.715,21.108000000000001,1.5600000000000001,3.629,4.2210000000000001,5.6699999999999999,6.7720000000000002,8.1029999999999998,9.3599999999999994,10.679,11.984999999999999,13.307,14.628,15.954000000000001,17.280000000000001,18.606999999999999,19.934999999999999,2.5009999999999999,3.7480000000000002,4.851,6.0910000000000002,7.3490000000000002,8.6379999999999999,9.9459999999999997,11.269,12.603999999999999,13.948,15.298999999999999,16.655999999999999,18.016999999999999,19.382000000000001,20.75
8,C10H16,6.2729999999999997,5.3869999999999996,4.6639999999999997,3.5939999999999999,2.6819999999999999,2.1960000000000002,1.0,0.42299999999999999,0.0,-0.091999999999999998,-0.59299999999999997,-0.876,-1.0,0.0,0.0,0.0,0.0,3.7269999999999999,2.601,1.883,1.202,0.45100000000000001,-0.69999999999999996,-0.92200000000000004,-1.0,-1.4259999999999999,-1.7769999999999999,-2.0,0.0,0.0,0.0,0.0,4.6369999999999996,3.25,2.6739999999999999,2.085,1.0,0.17599999999999999,0.0,-0.22800000000000001,-0.59399999999999997,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.6110000000000002,3.7610000000000001,5.5330000000000004,6.4470000000000001,7.8700000000000001,9.0429999999999993,10.369999999999999,11.624000000000001,12.925000000000001,14.204000000000001,15.497999999999999,16.785,18.077000000000002,19.367000000000001,2.5649999999999999,3.9319999999999999,5.1820000000000004,6.5780000000000003,8.0060000000000002,9.468,10.951000000000001,12.449,13.958,15.475,16.997,18.524000000000001,20.053000000000001,21.585000000000001,23.119,1.1120000000000001,3.6480000000000001,4.0990000000000002,5.6580000000000004,6.6950000000000003,8.0540000000000003,9.2769999999999992,10.593999999999999,11.877000000000001,13.188000000000001,14.491,15.803000000000001,17.113,18.427,19.739999999999998,2.4849999999999999,3.871,5.0880000000000001,6.4740000000000002,7.8940000000000001,9.3559999999999999,10.840999999999999,12.342000000000001,13.853999999999999,15.372999999999999,16.896000000000001,18.422999999999998,19.952999999999999,21.483000000000001,23.015000000000001
9,C10H20O,6.6619999999999999,5.4119999999999999,4.3659999999999997,3.3260000000000001,2.4140000000000001,2.153,0.77800000000000002,0.158,0.0,0.0,-0.41399999999999998,-0.78100000000000003,-1.0,0.0,0.0,0.0,0.0,3.3940000000000001,2.4969999999999999,1.526,1.1579999999999999,0.098000000000000004,-0.81299999999999994,-1.0,-1.0,-1.2250000000000001,-1.774,-2.0,0.0,0.0,0.0,0.0,4.3620000000000001,3.298,2.3919999999999999,2.1509999999999998,0.71299999999999997,0.14999999999999999,0.0,0.0,-0.48199999999999998,-0.78500000000000003,-1.0,0.0,0.0,0.0,0.0,0.0,3.4969999999999999,3.6110000000000002,5.2830000000000004,6.1109999999999998,7.4560000000000004,8.5340000000000007,9.7840000000000007,10.946999999999999,12.17,13.365,14.58,15.786,17.0,18.210999999999999,2.4849999999999999,3.7839999999999998,4.9699999999999998,6.2990000000000004,7.6600000000000001,9.0570000000000004,10.476000000000001,11.91,13.353999999999999,14.805999999999999,16.263999999999999,17.725000000000001,19.190000000000001,20.657,22.126000000000001,0.621,3.5190000000000001,3.7559999999999998,5.3490000000000002,6.2220000000000004,7.5430000000000001,8.6349999999999998,9.8789999999999996,11.048999999999999,12.272,13.472,14.691000000000001,15.903,17.122,18.338999999999999,2.468,3.7759999999999998,4.9580000000000002,6.2869999999999999,7.6470000000000002,9.0440000000000005,10.462,11.896000000000001,13.34,14.792,16.25,17.710999999999999,19.175000000000001,20.641999999999999,22.109999999999999
10,C10H20O,6.6619999999999999,5.4119999999999999,4.3659999999999997,3.3260000000000001,2.4140000000000001,2.153,0.77800000000000002,0.158,0.0,0.0,-0.41399999999999998,-0.78100000000000003,-1.0,0.0,0.0,0.0,0.0,3.3940000000000001,2.4969999999999999,1.526,1.1579999999999999,0.098000000000000004,-0.81299999999999994,-1.0,-1.0,-1.2250000000000001,-1.774,-2.0,0.0,0.0,0.0,0.0,4.3620000000000001,3.298,2.3919999999999999,2.1509999999999998,0.71299999999999997,0.14999999999999999,0.0,0.0,-0.48199999999999998,-0.78500000000000003,-1.0,0.0,0.0,0.0,0.0,0.0,3.4969999999999999,3.6110000000000002,5.2830000000000004,6.1109999999999998,7.4560000000000004,8.5340000000000007,9.7840000000000007,10.946999999999999,12.17,13.365,14.58,15.786,17.0,18.210999999999999,2.4849999999999999,3.7839999999999998,4.9699999999999998,6.2990000000000004,7.6600000000000001,9.0570000000000004,10.476000000000001,11.91,13.353999999999999,14.805999999999999,16.263999999999999,17.725000000000001,19.190000000000001,20.657,22.126000000000001,0.621,3.5190000000000001,3.7559999999999998,5.3490000000000002,6.2220000000000004,7.5430000000000001,8.6349999999999998,9.8789999999999996,11.048999999999999,12.272,13.472,14.691000000000001,15.903,17.122,18.338999999999999,2.468,3.7759999999999998,4.9580000000000002,6.2869999999999999,7.6470000000000002,9.0440000000000005,10.462,11.896000000000001,13.34,14.792,16.25,17.710999999999999,19.175000000000001,20.641999999999999,22.109999999999999
