molid,identifiere,W3D,J3D,H3D,AGDD,DDI,ADDD,G1,G2,RGyr,SPAN,SPAM,MEcc,SPH,ASP,FDI,PJI3,L/Bw,SEig,HOMA,RCI,AROM,HOMT,DISPm,QXXm,QYYm,QZZm,DISPv,QXXv,QYYv,QZZv,DISPe,QXXe,QYYe,QZZe,DISPp,QXXp,QYYp,QZZp,G(N..N),G(N..O),G(N..S),G(N..P),G(N..F),G(N..Cl),G(N..Br),G(N..I),G(O..O),G(O..S),G(O..P),G(O..F),G(O..Cl),G(O..Br),G(O..I),G(S..S),G(S..P),G(S..F),G(S..Cl),G(S..Br),G(S..I),G(P..P),G(P..F),G(P..Cl),G(P..Br),G(P..I),G(F..F),G(F..Cl),G(F..Br),G(F..I),G(Cl..Cl),G(Cl..Br),G(Cl..I),G(Br..Br),G(Br..I),G(I..I)
1,C10H14O,1131.8530000000001,3.7080000000000002,99.754000000000005,90.548000000000002,299.55200000000002,23.963999999999999,12.414,6.569,2.4609999999999999,4.3680000000000003,0.41799999999999998,0.996,0.65100000000000002,0.40400000000000003,0.96599999999999997,0.81599999999999995,4.1100000000000003,49.558,0.002,0.0,0.0,0.0070000000000000001,6.391,19.949000000000002,62.371000000000002,72.147999999999996,2.5110000000000001,24.213999999999999,85.051000000000002,90.358000000000004,0.20699999999999999,54.520000000000003,166.643,176.09899999999999,0.10299999999999999,27.206,94.757999999999996,99.728999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,C5H10O3,545.03399999999999,5.0659999999999998,55.460999999999999,60.558999999999997,152.648,16.960999999999999,8.8529999999999998,4.9880000000000004,2.1880000000000002,4.2789999999999999,0.48799999999999999,0.999,0.81100000000000005,0.47999999999999998,0.94999999999999996,0.747,4.2000000000000002,34.460999999999999,0.0,0.0,0.0,0.0,8.1850000000000005,11.119999999999999,39.594999999999999,47.698999999999998,2.5939999999999999,11.103,50.027000000000001,55.579000000000001,0.312,27.988,109.70699999999999,121.77,0.075999999999999998,12.417,56.219999999999999,61.902999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,C10H18O,1519.3,4.3019999999999996,133.36000000000001,104.779,394.447,27.202999999999999,12.746,6.4320000000000004,2.4129999999999998,4.2969999999999997,0.38500000000000001,0.99399999999999999,0.61499999999999999,0.33200000000000002,0.94599999999999995,0.79400000000000004,3.29,56.728999999999999,0.0,0.0,0.0,0.0,3.9060000000000001,22.138000000000002,59.133000000000003,69.576999999999998,2.419,30.475999999999999,88.003,95.855000000000004,0.109,73.204999999999998,176.91999999999999,193.98099999999999,0.13300000000000001,35.036999999999999,99.192999999999998,107.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,C10H18O,1541.2260000000001,4.2240000000000002,133.26499999999999,106.291,396.94999999999999,27.376000000000001,12.893000000000001,6.476,2.4289999999999998,4.319,0.38600000000000001,0.999,0.78800000000000003,0.379,0.95099999999999996,0.79600000000000004,2.98,57.491,0.0,0.0,0.0,0.0,4.4359999999999999,21.099,58.113,74.0,1.881,27.800000000000001,88.629999999999995,105.30800000000001,0.13200000000000001,64.959000000000003,182.56299999999999,215.06,0.083000000000000004,31.684999999999999,100.45399999999999,118.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,C10H14O,1131.8720000000001,3.7080000000000002,99.741,90.549999999999997,299.55599999999998,23.963999999999999,12.413,6.569,2.4609999999999999,4.3689999999999998,0.41799999999999998,0.996,0.65100000000000002,0.40400000000000003,0.96599999999999997,0.80100000000000005,4.1100000000000003,49.558999999999997,0.002,0.0,0.0,0.0070000000000000001,6.4349999999999996,19.949999999999999,62.372,72.150999999999996,2.5249999999999999,24.213999999999999,85.052000000000007,90.359999999999999,0.20799999999999999,54.520000000000003,166.64400000000001,176.101,0.10299999999999999,27.206,94.757999999999996,99.730000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C10H18O,1519.309,4.3019999999999996,133.35900000000001,104.78,394.44900000000001,27.202999999999999,12.746,6.4320000000000004,2.4129999999999998,4.2969999999999997,0.38500000000000001,0.99399999999999999,0.61499999999999999,0.33200000000000002,0.94599999999999995,0.79400000000000004,3.29,56.729999999999997,0.0,0.0,0.0,0.0,3.8799999999999999,22.138000000000002,59.131999999999998,69.576999999999998,2.4009999999999998,30.475999999999999,88.003,95.855000000000004,0.108,73.206000000000003,176.92099999999999,193.982,0.13200000000000001,35.036999999999999,99.192999999999998,107.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,C10H18O,1541.2249999999999,4.2240000000000002,133.26499999999999,106.291,396.94999999999999,27.376000000000001,12.893000000000001,6.476,2.4289999999999998,4.319,0.38600000000000001,0.999,0.78800000000000003,0.379,0.95099999999999996,0.79600000000000004,2.98,57.491,0.0,0.0,0.0,0.0,4.3899999999999997,21.100000000000001,58.113,74.0,1.859,27.800000000000001,88.629999999999995,105.30800000000001,0.13300000000000001,64.959999999999994,182.56200000000001,215.06,0.083000000000000004,31.686,100.45399999999999,118.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,C10H16,1100.3900000000001,3.093,113.755,84.644999999999996,320.82799999999997,24.678999999999998,11.648,5.9870000000000001,2.0089999999999999,3.569,0.37,0.93000000000000005,0.32300000000000001,0.10299999999999999,0.95699999999999996,0.92000000000000004,2.1299999999999999,52.277999999999999,0.0,0.0,0.0,0.0,1.887,20.934000000000001,34.231000000000002,36.725000000000001,2.0739999999999998,34.743000000000002,54.100000000000001,57.555999999999997,0.012999999999999999,76.072999999999993,113.569,119.904,0.13200000000000001,40.002000000000002,61.667000000000002,65.489000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,C10H20O,1655.8130000000001,4.7859999999999996,156.00399999999999,106.827,440.37599999999998,28.411000000000001,13.385,6.3890000000000002,2.254,3.8109999999999999,0.35099999999999998,0.98899999999999999,0.57499999999999996,0.20000000000000001,0.92500000000000004,0.85499999999999998,1.9399999999999999,61.234999999999999,0.0,0.0,0.0,0.0,3.399,26.449000000000002,45.859000000000002,60.600999999999999,1.492,38.018000000000001,71.366,86.176000000000002,0.12,90.498000000000005,148.126,180.18000000000001,0.114,43.817,81.113,97.277000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,C10H20O,1655.816,4.7859999999999996,156.00299999999999,106.827,440.37700000000001,28.411000000000001,13.384,6.3890000000000002,2.254,3.8109999999999999,0.35099999999999998,0.98899999999999999,0.57499999999999996,0.20000000000000001,0.92500000000000004,0.85499999999999998,1.9399999999999999,61.234999999999999,0.0,0.0,0.0,0.0,3.4060000000000001,26.449000000000002,45.859000000000002,60.600999999999999,1.498,38.018999999999998,71.366,86.176000000000002,0.122,90.498999999999995,148.126,180.18000000000001,0.126,43.817,81.111999999999995,97.277000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
