molid,identifiere,ISIZ,IAC,AAC,IDE,IDM,IDDE,IDDM,IDET,IDMT,IVDE,IVDM,HVcpx,HDcpx,Uindex,Vindex,Xindex,Yindex,IC0,TIC0,SIC0,CIC0,BIC0,IC1,TIC1,SIC1,CIC1,BIC1,IC2,TIC2,SIC2,CIC2,BIC2,IC3,TIC3,SIC3,CIC3,BIC3,IC4,TIC4,SIC4,CIC4,BIC4,IC5,TIC5,SIC5,CIC5,BIC5
1,C10H14O,116.096,29.574000000000002,1.1830000000000001,2.371,5.6059999999999999,2.8450000000000002,3.4340000000000002,130.405,852.04899999999998,1.573,3.3220000000000001,2.3660000000000001,1.4279999999999999,19.126000000000001,0.53100000000000003,0.75700000000000001,1.6479999999999999,1.1830000000000001,29.574000000000002,0.255,3.4609999999999999,0.246,2.7719999999999998,69.287999999999997,0.59699999999999998,1.8720000000000001,0.57699999999999996,3.6230000000000002,90.587000000000003,0.78000000000000003,1.02,0.754,4.0229999999999997,100.587,0.86599999999999999,0.62,0.83699999999999997,4.0229999999999997,100.587,0.86599999999999999,0.62,0.83699999999999997,4.0229999999999997,100.587,0.86599999999999999,0.62,0.83699999999999997
2,C5H10O3,75.058999999999997,25.475000000000001,1.415,2.1890000000000001,4.6360000000000001,2.25,2.9670000000000001,61.302999999999997,324.54599999999999,1.5,2.8420000000000001,2.222,1.3,18.396999999999998,0.84899999999999998,1.1899999999999999,2.6099999999999999,1.415,25.475000000000001,0.33900000000000002,2.7549999999999999,0.33900000000000002,2.4740000000000002,44.529000000000003,0.59299999999999997,1.696,0.59299999999999997,3.1970000000000001,57.548999999999999,0.76700000000000002,0.97299999999999998,0.76700000000000002,3.5299999999999998,63.548999999999999,0.84699999999999998,0.63900000000000001,0.84699999999999998,3.5299999999999998,63.548999999999999,0.84699999999999998,0.63900000000000001,0.84699999999999998,3.2810000000000001,59.052,0.78700000000000003,0.88900000000000001,0.78700000000000003
3,C10H18O,140.881,32.603999999999999,1.1240000000000001,2.3279999999999998,5.6130000000000004,3.278,3.4329999999999998,128.041,841.90599999999995,1.573,3.3220000000000001,2.2839999999999998,1.4299999999999999,19.07,0.54400000000000004,0.76800000000000002,1.7270000000000001,1.1240000000000001,32.603999999999999,0.23100000000000001,3.734,0.22900000000000001,2.6040000000000001,75.522999999999996,0.53600000000000003,2.254,0.53100000000000003,3.9260000000000002,113.86199999999999,0.80800000000000005,0.93200000000000005,0.80000000000000004,4.2539999999999996,123.372,0.876,0.60399999999999998,0.86699999999999999,4.2539999999999996,123.372,0.876,0.60399999999999998,0.86699999999999999,4.2539999999999996,123.372,0.876,0.60399999999999998,0.86699999999999999
4,C10H18O,140.881,32.603999999999999,1.1240000000000001,2.3279999999999998,5.6130000000000004,3.278,3.4329999999999998,128.041,841.90599999999995,1.573,3.3220000000000001,2.2839999999999998,1.4299999999999999,19.07,0.54400000000000004,0.76800000000000002,1.7270000000000001,1.1240000000000001,32.603999999999999,0.23100000000000001,3.734,0.22900000000000001,1.968,57.067999999999998,0.40500000000000003,2.8900000000000001,0.40100000000000002,3.2269999999999999,93.596999999999994,0.66400000000000003,1.6299999999999999,0.65800000000000003,3.3650000000000002,97.596999999999994,0.69299999999999995,1.4930000000000001,0.68600000000000005,3.4340000000000002,99.596999999999994,0.70699999999999996,1.4239999999999999,0.69999999999999996,3.5979999999999999,104.352,0.74099999999999999,1.26,0.73299999999999998
5,C10H14O,116.096,29.574000000000002,1.1830000000000001,2.371,5.6059999999999999,2.8450000000000002,3.4340000000000002,130.405,852.04899999999998,1.573,3.3220000000000001,2.3660000000000001,1.4279999999999999,19.126000000000001,0.53100000000000003,0.75700000000000001,1.6479999999999999,1.1830000000000001,29.574000000000002,0.255,3.4609999999999999,0.246,2.7719999999999998,69.287999999999997,0.59699999999999998,1.8720000000000001,0.57699999999999996,3.6230000000000002,90.587000000000003,0.78000000000000003,1.02,0.754,4.0229999999999997,100.587,0.86599999999999999,0.62,0.83699999999999997,4.0229999999999997,100.587,0.86599999999999999,0.62,0.83699999999999997,4.0229999999999997,100.587,0.86599999999999999,0.62,0.83699999999999997
6,C10H18O,140.881,32.603999999999999,1.1240000000000001,2.3279999999999998,5.6130000000000004,3.278,3.4329999999999998,128.041,841.90599999999995,1.573,3.3220000000000001,2.2839999999999998,1.4299999999999999,19.07,0.54400000000000004,0.76800000000000002,1.7270000000000001,1.1240000000000001,32.603999999999999,0.23100000000000001,3.734,0.22900000000000001,2.6040000000000001,75.522999999999996,0.53600000000000003,2.254,0.53100000000000003,3.9260000000000002,113.86199999999999,0.80800000000000005,0.93200000000000005,0.80000000000000004,4.2539999999999996,123.372,0.876,0.60399999999999998,0.86699999999999999,4.2539999999999996,123.372,0.876,0.60399999999999998,0.86699999999999999,4.2539999999999996,123.372,0.876,0.60399999999999998,0.86699999999999999
7,C10H18O,140.881,32.603999999999999,1.1240000000000001,2.3279999999999998,5.6130000000000004,3.278,3.4329999999999998,128.041,841.90599999999995,1.573,3.3220000000000001,2.2839999999999998,1.4299999999999999,19.07,0.54400000000000004,0.76800000000000002,1.7270000000000001,1.1240000000000001,32.603999999999999,0.23100000000000001,3.734,0.22900000000000001,1.968,57.067999999999998,0.40500000000000003,2.8900000000000001,0.40100000000000002,3.2269999999999999,93.596999999999994,0.66400000000000003,1.6299999999999999,0.65800000000000003,3.3650000000000002,97.596999999999994,0.69299999999999995,1.4930000000000001,0.68600000000000005,3.4340000000000002,99.596999999999994,0.70699999999999996,1.4239999999999999,0.69999999999999996,3.5979999999999999,104.352,0.74099999999999999,1.26,0.73299999999999998
8,C10H16,122.211,24.992000000000001,0.96099999999999997,1.897,5.3609999999999998,2.5219999999999998,3.3029999999999999,85.364000000000004,546.774,1.895,3.1749999999999998,1.9930000000000001,1.401,13.225,0.53300000000000003,0.70699999999999996,1.8819999999999999,0.96099999999999997,24.992000000000001,0.20399999999999999,3.7389999999999999,0.20000000000000001,2.3700000000000001,61.607999999999997,0.504,2.331,0.49299999999999999,3.6899999999999999,95.947000000000003,0.78500000000000003,1.01,0.76800000000000002,3.6899999999999999,95.947000000000003,0.78500000000000003,1.01,0.76800000000000002,3.6899999999999999,95.947000000000003,0.78500000000000003,1.01,0.76800000000000002,3.6899999999999999,95.947000000000003,0.78500000000000003,1.01,0.76800000000000002
9,C10H20O,153.58000000000001,33.921999999999997,1.0940000000000001,2.1779999999999999,5.6319999999999997,2.5499999999999998,3.4380000000000002,119.809,811.072,1.823,3.2999999999999998,2.1499999999999999,1.4339999999999999,18.966000000000001,0.57799999999999996,0.79700000000000004,1.9319999999999999,1.0940000000000001,33.921999999999997,0.221,3.8599999999999999,0.221,1.9390000000000001,60.115000000000002,0.39100000000000001,3.0150000000000001,0.39100000000000001,3.0419999999999998,94.296000000000006,0.61399999999999999,1.9119999999999999,0.61399999999999999,3.4929999999999999,108.29600000000001,0.70499999999999996,1.4610000000000001,0.70499999999999996,3.6219999999999999,112.29600000000001,0.73099999999999998,1.3320000000000001,0.73099999999999998,3.6219999999999999,112.29600000000001,0.73099999999999998,1.3320000000000001,0.73099999999999998
10,C10H20O,153.58000000000001,33.921999999999997,1.0940000000000001,2.1779999999999999,5.6319999999999997,2.5499999999999998,3.4380000000000002,119.809,811.072,1.823,3.2999999999999998,2.1499999999999999,1.4339999999999999,18.966000000000001,0.57799999999999996,0.79700000000000004,1.9319999999999999,1.0940000000000001,33.921999999999997,0.221,3.8599999999999999,0.221,1.9390000000000001,60.115000000000002,0.39100000000000001,3.0150000000000001,0.39100000000000001,3.0419999999999998,94.296000000000006,0.61399999999999999,1.9119999999999999,0.61399999999999999,3.4929999999999999,108.29600000000001,0.70499999999999996,1.4610000000000001,0.70499999999999996,3.6219999999999999,112.29600000000001,0.73099999999999998,1.3320000000000001,0.73099999999999998,3.6219999999999999,112.29600000000001,0.73099999999999998,1.3320000000000001,0.73099999999999998
