molid,identifiere,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,LAI,GVWAI-80,GVWAI-50,Inflammat-80,Inflammat-50,Depressant-80,Depressant-50,Psychotic-80,Psychotic-50,Hypertens-80,Hypertens-50,Hypnotic-80,Hypnotic-50,Neoplastic-80,Neoplastic-50,Infective-80,Infective-50,BLTF96,BLTD48,BLTA96,ALOGPS_logP,ALOGPS_logS
1,C10H14O,2.0,-0.877,47.173999999999999,17.07,17.07,2.153,4.6369999999999996,2.3610000000000002,5.5759999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2200000000000002,-3.3700000000000001,-3.3799999999999999,2.77,-2.1099999999999999
2,C5H10O3,1.0,0.079000000000000001,28.431000000000001,46.530000000000001,46.530000000000001,0.16,0.025999999999999999,0.28899999999999998,0.083000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53,-1.47,-1.3899999999999999,0.17000000000000001,0.46999999999999997
3,C10H18O,1.0,-0.29399999999999998,47.222000000000001,20.23,20.23,2.3570000000000002,5.5579999999999998,2.5830000000000002,6.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.3900000000000001,-3.5600000000000001,-3.5899999999999999,2.6899999999999999,-2.0800000000000001
4,C10H18O,1.0,-0.877,46.520000000000003,17.07,17.07,2.3570000000000002,5.5579999999999998,2.597,6.7430000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.3900000000000001,-3.5600000000000001,-3.5899999999999999,2.6499999999999999,-2.77
5,C10H14O,2.0,-0.877,47.173999999999999,17.07,17.07,2.153,4.6369999999999996,2.3610000000000002,5.5759999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2200000000000002,-3.3700000000000001,-3.3799999999999999,2.77,-2.1099999999999999
6,C10H18O,1.0,-0.29399999999999998,47.222000000000001,20.23,20.23,2.3570000000000002,5.5579999999999998,2.5830000000000002,6.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.3900000000000001,-3.5600000000000001,-3.5899999999999999,2.6899999999999999,-2.0800000000000001
7,C10H18O,1.0,-0.877,46.520000000000003,17.07,17.07,2.3570000000000002,5.5579999999999998,2.597,6.7430000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.3900000000000001,-3.5600000000000001,-3.5899999999999999,2.6499999999999999,-2.77
8,C10H16,1.0,-0.95999999999999996,44.722000000000001,0.0,0.0,3.3740000000000001,11.387,2.8730000000000002,8.2530000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2599999999999998,-4.5300000000000002,-4.5999999999999996,3.6600000000000001,-2.9399999999999999
9,C10H20O,0.0,-0.29399999999999998,47.371000000000002,20.23,20.23,2.5019999999999998,6.2619999999999996,2.734,7.4740000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.52,-3.7000000000000002,-3.73,3.1099999999999999,-2.4900000000000002
10,C10H20O,0.0,-0.29399999999999998,47.371000000000002,20.23,20.23,2.5019999999999998,6.2619999999999996,2.734,7.4740000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.52,-3.7000000000000002,-3.73,3.1099999999999999,-2.4900000000000002
11,C5H10O2,1.0,0.045999999999999999,26.446000000000002,37.299999999999997,37.299999999999997,0.996,0.99099999999999999,1.3560000000000001,1.8380000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2400000000000002,-2.27,-2.23,1.47,-0.25
12,C5H10O2,1.0,0.045999999999999999,26.446000000000002,37.299999999999997,37.299999999999997,0.996,0.99099999999999999,1.3560000000000001,1.8380000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2400000000000002,-2.27,-2.23,1.47,-0.25
13,C10H16,1.0,-0.95999999999999996,44.722000000000001,0.0,0.0,3.3740000000000001,11.387,2.8730000000000002,8.2530000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2599999999999998,-4.5300000000000002,-4.5999999999999996,3.6600000000000001,-2.9399999999999999
14,C13H24O2,1.585,-0.84599999999999997,64.108999999999995,26.300000000000001,26.300000000000001,3.4180000000000001,11.679,4.71,22.181000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.29,-4.5700000000000003,-4.6500000000000004,5.25,-4.0899999999999999
15,C8H18O,0.0,-0.21299999999999999,40.539000000000001,20.23,20.23,3.1859999999999999,10.15,2.7959999999999998,7.8150000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0999999999999996,-4.3499999999999996,-4.4199999999999999,3.21,-2.3900000000000001
16,C5H12O,0.0,0.0040000000000000001,26.736000000000001,20.23,20.23,1.2090000000000001,1.4630000000000001,1.427,2.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4199999999999999,-2.4700000000000002,-2.4399999999999999,1.47,-0.37
17,C8H10O,2.8069999999999999,-0.21299999999999999,37.292000000000002,20.23,20.23,1.925,3.7040000000000002,1.603,2.5699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0299999999999998,-3.1499999999999999,-3.1499999999999999,1.5800000000000001,-0.90000000000000002
