molid,identifiere,DP01,DP02,DP03,DP04,DP05,DP06,DP07,DP08,DP09,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,SP01,SP02,SP03,SP04,SP05,SP06,SP07,SP08,SP09,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20,SHP2
1,C10H14O,3.4980000000000002,4.1269999999999998,4.4930000000000003,4.6719999999999997,4.702,4.6029999999999998,4.3920000000000003,4.0800000000000001,3.6789999999999998,3.1989999999999998,2.6549999999999998,2.0670000000000002,1.472,0.92900000000000005,0.504,0.23499999999999999,0.096000000000000002,0.035999999999999997,0.012999999999999999,0.0040000000000000001,3.1600000000000001,3.891,4.3390000000000004,4.5910000000000002,4.6879999999999997,4.6520000000000001,4.4969999999999999,4.2350000000000003,3.8769999999999998,3.431,2.911,2.3340000000000001,1.7310000000000001,1.1499999999999999,0.66300000000000003,0.32600000000000001,0.13900000000000001,0.052999999999999999,0.019,0.0060000000000000001,0.55600000000000005
2,C5H10O3,3.0600000000000001,3.5910000000000002,3.871,3.9700000000000002,3.9220000000000002,3.746,3.4580000000000002,3.073,2.6059999999999999,2.0790000000000002,1.5269999999999999,1.0009999999999999,0.56799999999999995,0.27700000000000002,0.11799999999999999,0.044999999999999998,0.016,0.0050000000000000001,0.002,0.001,2.8679999999999999,3.492,3.8410000000000002,3.9940000000000002,3.9870000000000001,3.8439999999999999,3.5840000000000001,3.2210000000000001,2.77,2.2509999999999999,1.694,1.147,0.67700000000000005,0.34100000000000003,0.14899999999999999,0.058000000000000003,0.021000000000000001,0.0070000000000000001,0.002,0.001,0.58199999999999996
3,C10H18O,3.4849999999999999,4.0860000000000003,4.4189999999999996,4.569,4.577,4.4640000000000004,4.2469999999999999,3.9350000000000001,3.5390000000000001,3.0680000000000001,2.5350000000000001,1.9630000000000001,1.3879999999999999,0.86799999999999999,0.46800000000000003,0.218,0.088999999999999996,0.034000000000000002,0.012,0.0040000000000000001,3.1579999999999999,3.8769999999999998,4.3029999999999999,4.5279999999999996,4.5990000000000002,4.5430000000000001,4.375,4.1070000000000002,3.7480000000000002,3.306,2.794,2.2290000000000001,1.6419999999999999,1.0820000000000001,0.61899999999999999,0.30299999999999999,0.129,0.049000000000000002,0.017999999999999999,0.0060000000000000001,0.55400000000000005
4,C10H18O,3.4849999999999999,4.093,4.4400000000000004,4.6079999999999997,4.633,4.5369999999999999,4.3339999999999996,4.0350000000000001,3.6480000000000001,3.1840000000000002,2.6549999999999998,2.081,1.496,0.95499999999999996,0.52700000000000002,0.249,0.104,0.039,0.014,0.0050000000000000001,3.157,3.8839999999999999,4.3250000000000002,4.569,4.6589999999999998,4.6200000000000001,4.468,4.2119999999999997,3.863,3.4289999999999998,2.9209999999999998,2.3559999999999999,1.7609999999999999,1.1839999999999999,0.69299999999999995,0.34599999999999997,0.14899999999999999,0.058000000000000003,0.021000000000000001,0.0070000000000000001,0.55500000000000005
5,C10H14O,3.4980000000000002,4.1269999999999998,4.4930000000000003,4.6719999999999997,4.702,4.6029999999999998,4.3920000000000003,4.0810000000000004,3.6789999999999998,3.2000000000000002,2.6549999999999998,2.0680000000000001,1.4730000000000001,0.92900000000000005,0.505,0.23499999999999999,0.097000000000000003,0.035999999999999997,0.012999999999999999,0.0040000000000000001,3.1600000000000001,3.891,4.3390000000000004,4.5910000000000002,4.6879999999999997,4.6520000000000001,4.4980000000000002,4.2359999999999998,3.8769999999999998,3.4319999999999999,2.9119999999999999,2.335,1.732,1.151,0.66300000000000003,0.32600000000000001,0.13900000000000001,0.052999999999999999,0.019,0.0060000000000000001,0.55600000000000005
6,C10H18O,3.4849999999999999,4.0860000000000003,4.4189999999999996,4.569,4.577,4.4640000000000004,4.2469999999999999,3.9350000000000001,3.5390000000000001,3.0680000000000001,2.5350000000000001,1.9630000000000001,1.3879999999999999,0.86799999999999999,0.46800000000000003,0.218,0.088999999999999996,0.034000000000000002,0.012,0.0040000000000000001,3.1579999999999999,3.8769999999999998,4.3029999999999999,4.5279999999999996,4.5990000000000002,4.5430000000000001,4.375,4.1070000000000002,3.7480000000000002,3.306,2.794,2.2290000000000001,1.6419999999999999,1.0820000000000001,0.61899999999999999,0.30299999999999999,0.129,0.049000000000000002,0.017999999999999999,0.0060000000000000001,0.55400000000000005
7,C10H18O,3.4849999999999999,4.093,4.4400000000000004,4.6079999999999997,4.633,4.5369999999999999,4.3339999999999996,4.0350000000000001,3.6480000000000001,3.1840000000000002,2.6549999999999998,2.0800000000000001,1.496,0.95499999999999996,0.52700000000000002,0.249,0.104,0.039,0.014,0.0050000000000000001,3.157,3.8839999999999999,4.3250000000000002,4.569,4.6589999999999998,4.6200000000000001,4.468,4.2119999999999997,3.863,3.4289999999999998,2.9209999999999998,2.3559999999999999,1.7609999999999999,1.1839999999999999,0.69299999999999995,0.34599999999999997,0.14899999999999999,0.058000000000000003,0.021000000000000001,0.0070000000000000001,0.55500000000000005
8,C10H16,3.2109999999999999,3.5859999999999999,3.6600000000000001,3.5310000000000001,3.2490000000000001,2.847,2.3540000000000001,1.8009999999999999,1.2390000000000001,0.73999999999999999,0.374,0.161,0.060999999999999999,0.021000000000000001,0.0070000000000000001,0.002,0.001,0.0,0.0,0.0,2.8500000000000001,3.3799999999999999,3.5819999999999999,3.552,3.3460000000000001,3.0030000000000001,2.5499999999999998,2.02,1.456,0.92200000000000004,0.497,0.22600000000000001,0.088999999999999996,0.032000000000000001,0.01,0.0030000000000000001,0.001,0.0,0.0,0.0,0.56299999999999994
9,C10H20O,3.4279999999999999,3.9390000000000001,4.1539999999999999,4.1580000000000004,3.9969999999999999,3.6960000000000002,3.2770000000000001,2.7599999999999998,2.1709999999999998,1.552,0.96999999999999997,0.51100000000000001,0.22500000000000001,0.085999999999999993,0.029000000000000001,0.0089999999999999993,0.0030000000000000001,0.001,0.0,0.0,3.2240000000000002,3.8500000000000001,4.157,4.2320000000000002,4.1219999999999999,3.859,3.4670000000000001,2.9670000000000001,2.3839999999999999,1.756,1.1419999999999999,0.629,0.28899999999999998,0.113,0.039,0.012,0.0040000000000000001,0.001,0.0,0.0,0.48099999999999998
10,C10H20O,3.4279999999999999,3.9390000000000001,4.1539999999999999,4.1580000000000004,3.9969999999999999,3.6960000000000002,3.2770000000000001,2.7599999999999998,2.1709999999999998,1.552,0.96999999999999997,0.51100000000000001,0.22500000000000001,0.085999999999999993,0.029000000000000001,0.0089999999999999993,0.0030000000000000001,0.001,0.0,0.0,3.2240000000000002,3.8500000000000001,4.157,4.2320000000000002,4.1219999999999999,3.859,3.4670000000000001,2.9670000000000001,2.3839999999999999,1.756,1.1419999999999999,0.629,0.28899999999999998,0.113,0.039,0.012,0.0040000000000000001,0.001,0.0,0.0,0.48099999999999998
11,C5H10O2,2.8050000000000002,3.1779999999999999,3.2719999999999998,3.177,2.9369999999999998,2.5819999999999999,2.1360000000000001,1.633,1.1220000000000001,0.67000000000000004,0.34100000000000003,0.14799999999999999,0.057000000000000002,0.02,0.0060000000000000001,0.002,0.001,0.0,0.0,0.0,2.5990000000000002,3.0990000000000002,3.2909999999999999,3.266,3.0760000000000001,2.7549999999999999,2.3300000000000001,1.8320000000000001,1.3049999999999999,0.81399999999999995,0.433,0.19500000000000001,0.076999999999999999,0.027,0.0089999999999999993,0.0030000000000000001,0.001,0.0,0.0,0.0,0.62
12,C5H10O2,2.8050000000000002,3.1779999999999999,3.2719999999999998,3.177,2.9369999999999998,2.5819999999999999,2.1360000000000001,1.633,1.1220000000000001,0.67000000000000004,0.34100000000000003,0.14799999999999999,0.057000000000000002,0.02,0.0060000000000000001,0.002,0.001,0.0,0.0,0.0,2.5990000000000002,3.0990000000000002,3.2909999999999999,3.266,3.0760000000000001,2.7549999999999999,2.3300000000000001,1.8320000000000001,1.3049999999999999,0.81399999999999995,0.433,0.19500000000000001,0.076999999999999999,0.027,0.0089999999999999993,0.0030000000000000001,0.001,0.0,0.0,0.0,0.62
13,C10H16,3.2109999999999999,3.5859999999999999,3.6600000000000001,3.5310000000000001,3.2490000000000001,2.847,2.3540000000000001,1.8009999999999999,1.2390000000000001,0.73999999999999999,0.374,0.161,0.060999999999999999,0.021000000000000001,0.0070000000000000001,0.002,0.001,0.0,0.0,0.0,2.8500000000000001,3.3799999999999999,3.5819999999999999,3.552,3.3460000000000001,3.0030000000000001,2.5499999999999998,2.02,1.456,0.92200000000000004,0.497,0.22600000000000001,0.088999999999999996,0.032000000000000001,0.01,0.0030000000000000001,0.001,0.0,0.0,0.0,0.56299999999999994
14,C13H24O2,4.1429999999999998,5.1449999999999996,5.8920000000000003,6.4470000000000001,6.8460000000000001,7.1139999999999999,7.266,7.3170000000000002,7.2770000000000001,7.1529999999999996,6.9539999999999997,6.6840000000000002,6.3490000000000002,5.952,5.4980000000000002,4.9889999999999999,4.431,3.827,3.1859999999999999,2.52,3.9980000000000002,5.0650000000000004,5.8609999999999998,6.4550000000000001,6.8869999999999996,7.181,7.3559999999999999,7.4269999999999996,7.4029999999999996,7.2949999999999999,7.1079999999999997,6.8490000000000002,6.5229999999999997,6.1340000000000003,5.6859999999999999,5.1829999999999998,4.6289999999999996,4.0270000000000001,3.3849999999999998,2.714,0.42199999999999999
15,C8H18O,3.552,4.5590000000000002,5.3479999999999999,5.9569999999999999,6.4109999999999996,6.7300000000000004,6.9279999999999999,7.0190000000000001,7.0119999999999996,6.9160000000000004,6.7370000000000001,6.4829999999999997,6.157,5.7649999999999997,5.3109999999999999,4.7990000000000004,4.234,3.6219999999999999,2.972,2.302,3.552,4.5590000000000002,5.3479999999999999,5.9569999999999999,6.4109999999999996,6.7300000000000004,6.9279999999999999,7.0190000000000001,7.0119999999999996,6.9160000000000004,6.7370000000000001,6.4829999999999997,6.157,5.7649999999999997,5.3109999999999999,4.7990000000000004,4.234,3.6219999999999999,2.972,2.302,0.50700000000000001
16,C5H12O,2.774,3.3650000000000002,3.726,3.9089999999999998,3.9390000000000001,3.835,3.6120000000000001,3.2850000000000001,2.8679999999999999,2.3780000000000001,1.841,1.2969999999999999,0.80500000000000005,0.43099999999999999,0.19800000000000001,0.081000000000000003,0.029999999999999999,0.01,0.0030000000000000001,0.001,2.774,3.3650000000000002,3.726,3.9089999999999998,3.9390000000000001,3.835,3.6120000000000001,3.2850000000000001,2.8679999999999999,2.3780000000000001,1.841,1.2969999999999999,0.80500000000000005,0.43099999999999999,0.19800000000000001,0.081000000000000003,0.029999999999999999,0.01,0.0030000000000000001,0.001,0.56100000000000005
17,C8H10O,3.1480000000000001,3.6110000000000002,3.7959999999999998,3.7799999999999998,3.6019999999999999,3.2869999999999999,2.8559999999999999,2.3319999999999999,1.75,1.167,0.66400000000000003,0.316,0.127,0.044999999999999998,0.014999999999999999,0.0040000000000000001,0.001,0.0,0.0,0.0,2.9569999999999999,3.4940000000000002,3.742,3.778,3.6400000000000001,3.3570000000000002,2.9500000000000002,2.4430000000000001,1.8680000000000001,1.2769999999999999,0.75,0.36799999999999999,0.152,0.055,0.017999999999999999,0.0050000000000000001,0.002,0.0,0.0,0.0,0.499
18,C8H10O,3.1480000000000001,3.6110000000000002,3.7959999999999998,3.7799999999999998,3.601,3.286,2.8540000000000001,2.3300000000000001,1.748,1.165,0.66300000000000003,0.315,0.127,0.044999999999999998,0.014999999999999999,0.0040000000000000001,0.001,0.0,0.0,0.0,2.9569999999999999,3.4940000000000002,3.742,3.7770000000000001,3.6400000000000001,3.3559999999999999,2.948,2.4409999999999998,1.8660000000000001,1.2749999999999999,0.749,0.36699999999999999,0.151,0.055,0.017999999999999999,0.0050000000000000001,0.002,0.0,0.0,0.0,0.499
19,C3H8O,2.0259999999999998,2.2229999999999999,2.1680000000000001,1.944,1.6020000000000001,1.1890000000000001,0.77100000000000002,0.42299999999999999,0.19500000000000001,0.075999999999999998,0.027,0.0080000000000000002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.0259999999999998,2.2229999999999999,2.1680000000000001,1.944,1.6020000000000001,1.1890000000000001,0.77100000000000002,0.42299999999999999,0.19500000000000001,0.075999999999999998,0.027,0.0080000000000000002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.55600000000000005
20,C10H18O,3.3969999999999998,3.8839999999999999,4.0869999999999997,4.0940000000000003,3.9460000000000002,3.6680000000000001,3.2759999999999998,2.7909999999999999,2.2330000000000001,1.639,1.0660000000000001,0.59199999999999997,0.27700000000000002,0.112,0.040000000000000001,0.012999999999999999,0.0040000000000000001,0.001,0.0,0.0,3.1579999999999999,3.7160000000000002,3.972,4.0199999999999996,3.9060000000000001,3.6579999999999999,3.2949999999999999,2.8340000000000001,2.2949999999999999,1.7130000000000001,1.139,0.65100000000000002,0.314,0.129,0.047,0.016,0.0050000000000000001,0.001,0.0,0.0,0.46500000000000002
21,C4H8O,2.2869999999999999,2.4790000000000001,2.3940000000000001,2.1299999999999999,1.748,1.3,0.85299999999999998,0.47799999999999998,0.22600000000000001,0.091999999999999998,0.033000000000000002,0.010999999999999999,0.0030000000000000001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.1640000000000001,2.4529999999999998,2.4390000000000001,2.222,1.865,1.425,0.96399999999999997,0.55800000000000005,0.27100000000000002,0.112,0.041000000000000002,0.012999999999999999,0.0040000000000000001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.61299999999999999
