molid,identifiere,RDF010u,RDF015u,RDF020u,RDF025u,RDF030u,RDF035u,RDF040u,RDF045u,RDF050u,RDF055u,RDF060u,RDF065u,RDF070u,RDF075u,RDF080u,RDF085u,RDF090u,RDF095u,RDF100u,RDF105u,RDF110u,RDF115u,RDF120u,RDF125u,RDF130u,RDF135u,RDF140u,RDF145u,RDF150u,RDF155u,RDF010m,RDF015m,RDF020m,RDF025m,RDF030m,RDF035m,RDF040m,RDF045m,RDF050m,RDF055m,RDF060m,RDF065m,RDF070m,RDF075m,RDF080m,RDF085m,RDF090m,RDF095m,RDF100m,RDF105m,RDF110m,RDF115m,RDF120m,RDF125m,RDF130m,RDF135m,RDF140m,RDF145m,RDF150m,RDF155m,RDF010v,RDF015v,RDF020v,RDF025v,RDF030v,RDF035v,RDF040v,RDF045v,RDF050v,RDF055v,RDF060v,RDF065v,RDF070v,RDF075v,RDF080v,RDF085v,RDF090v,RDF095v,RDF100v,RDF105v,RDF110v,RDF115v,RDF120v,RDF125v,RDF130v,RDF135v,RDF140v,RDF145v,RDF150v,RDF155v,RDF010e,RDF015e,RDF020e,RDF025e,RDF030e,RDF035e,RDF040e,RDF045e,RDF050e,RDF055e,RDF060e,RDF065e,RDF070e,RDF075e,RDF080e,RDF085e,RDF090e,RDF095e,RDF100e,RDF105e,RDF110e,RDF115e,RDF120e,RDF125e,RDF130e,RDF135e,RDF140e,RDF145e,RDF150e,RDF155e,RDF010p,RDF015p,RDF020p,RDF025p,RDF030p,RDF035p,RDF040p,RDF045p,RDF050p,RDF055p,RDF060p,RDF065p,RDF070p,RDF075p,RDF080p,RDF085p,RDF090p,RDF095p,RDF100p,RDF105p,RDF110p,RDF115p,RDF120p,RDF125p,RDF130p,RDF135p,RDF140p,RDF145p,RDF150p,RDF155p
1,C10H14O,6.4859999999999998,7.75,4.8540000000000001,19.52,11.984,17.835999999999999,6.931,11.368,5.7539999999999996,5.4800000000000004,3.1230000000000002,4.7270000000000003,4.2919999999999998,0.98399999999999999,1.746,0.056000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55900000000000005,7.7469999999999999,0.35199999999999998,11.137,2.2210000000000001,5.5819999999999999,1.6459999999999999,2.2269999999999999,1.2110000000000001,2.665,0.156,1.077,0.27400000000000002,0.051999999999999998,0.012999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9410000000000001,7.7469999999999999,1.2989999999999999,11.919,3.714,6.4269999999999996,2.1840000000000002,3.484,1.76,1.5940000000000001,0.61199999999999999,1.363,1.046,0.21099999999999999,0.157,0.0050000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1130000000000004,7.75,4.532,19.449999999999999,11.537000000000001,17.835000000000001,6.5880000000000001,10.792,5.6529999999999996,6.1550000000000002,2.855,5.0,3.98,0.90500000000000003,1.5489999999999999,0.049000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4700000000000002,7.7469999999999999,1.677,12.407,4.4100000000000001,7.319,2.5539999999999998,4.0869999999999997,2.0310000000000001,1.6839999999999999,0.82399999999999995,1.52,1.367,0.28199999999999997,0.254,0.0080000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,C5H10O3,4.9139999999999997,4.3070000000000004,3.6139999999999999,12.510999999999999,4.9870000000000001,2.2650000000000001,4.6459999999999999,5.7460000000000004,7.2060000000000004,1.647,3.335,0.042999999999999997,2.6930000000000001,0.001,0.0060000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45500000000000002,4.7960000000000003,0.36499999999999999,5.7030000000000003,1.4350000000000001,0.85599999999999998,0.70399999999999996,0.61199999999999999,0.872,0.083000000000000004,0.89000000000000001,0.001,0.085000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.341,3.581,0.83499999999999996,3.5699999999999998,0.91400000000000003,0.59299999999999997,1.2929999999999999,1.363,1.9770000000000001,0.34100000000000003,0.59499999999999997,0.0040000000000000001,0.32100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9089999999999998,4.7910000000000004,3.9049999999999998,13.095000000000001,5.125,2.6779999999999999,4.7750000000000004,6.2030000000000003,7.0140000000000002,1.5109999999999999,3.2519999999999998,0.039,2.5640000000000001,0.001,0.0050000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6850000000000001,3.496,1.028,3.819,1.0529999999999999,0.64300000000000002,1.579,1.6639999999999999,2.4380000000000002,0.45700000000000002,0.70999999999999996,0.0060000000000000001,0.46100000000000002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,C10H18O,8.6240000000000006,9.0220000000000002,5.8310000000000004,35.249000000000002,15.417999999999999,18.765999999999998,13.175000000000001,12.391,11.757,6.5099999999999998,5.3079999999999998,5.5709999999999997,0.044999999999999998,0.84799999999999998,0.49299999999999999,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,9.2200000000000006,0.48099999999999998,13.356,3.0379999999999998,5.1929999999999996,1.0389999999999999,2.621,1.1930000000000001,0.54200000000000004,0.154,0.13800000000000001,0.0060000000000000001,0.062,0.0040000000000000001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4470000000000001,8.7240000000000002,1.5740000000000001,14.711,4.0330000000000004,6.7370000000000001,2.7759999999999998,4.157,2.0880000000000001,1.5880000000000001,0.76900000000000002,0.61599999999999999,0.014999999999999999,0.22700000000000001,0.044999999999999998,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3989999999999991,9.2200000000000006,5.6719999999999997,33.231000000000002,14.157999999999999,18.350999999999999,12.65,11.863,11.436999999999999,6.0149999999999997,4.806,4.9619999999999997,0.042000000000000003,0.79200000000000004,0.437,0.10199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.097,8.6899999999999995,2.0019999999999998,15.968,4.7380000000000004,7.8019999999999996,3.5790000000000002,4.843,2.7120000000000002,2.0430000000000001,1.0980000000000001,0.92600000000000005,0.017999999999999999,0.29299999999999998,0.071999999999999995,0.017000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,C10H18O,8.0210000000000008,9.2599999999999998,4.2460000000000004,38.023000000000003,17.728999999999999,15.474,13.56,9.1850000000000005,12.239000000000001,6.1459999999999999,7.548,2.9390000000000001,1.8,1.7030000000000001,1.885,0.059999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69099999999999995,9.2560000000000002,0.30499999999999999,13.301,3.669,3.3410000000000002,2.7999999999999998,1.3009999999999999,2.206,0.38600000000000001,0.38200000000000001,0.23799999999999999,0.13700000000000001,0.050999999999999997,0.012999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3999999999999999,9.2560000000000002,1.0149999999999999,15.266999999999999,4.9630000000000001,4.4249999999999998,3.9279999999999999,2.6179999999999999,3.875,1.343,1.534,0.55000000000000004,0.5,0.25800000000000001,0.16800000000000001,0.0050000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5590000000000002,9.2599999999999998,4.109,35.82,16.847000000000001,16.059000000000001,12.976000000000001,8.7509999999999994,11.928000000000001,5.8680000000000003,6.9169999999999998,2.661,1.6850000000000001,1.538,1.6719999999999999,0.053999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0539999999999998,9.2560000000000002,1.3080000000000001,16.670999999999999,5.7359999999999998,5.2729999999999997,4.7199999999999998,3.1899999999999999,4.5869999999999997,1.7569999999999999,2.0579999999999998,0.71999999999999997,0.64300000000000002,0.36599999999999999,0.27300000000000002,0.0089999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,C10H14O,6.4859999999999998,7.75,5.3460000000000001,20.291,12.705,18.991,7.016,12.086,10.087999999999999,5.3369999999999997,1.839,3.1880000000000002,2.1120000000000001,0.66400000000000003,1.986,0.0050000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55900000000000005,7.7469999999999999,0.35599999999999998,11.09,2.2389999999999999,5.5890000000000004,1.728,2.3359999999999999,1.2569999999999999,2.6150000000000002,0.17299999999999999,0.96899999999999997,0.14799999999999999,0.051999999999999998,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9410000000000001,7.7469999999999999,1.343,11.952999999999999,3.8069999999999999,6.5300000000000002,2.383,3.8319999999999999,2.0299999999999998,1.5840000000000001,0.54500000000000004,1.165,0.55100000000000005,0.187,0.17799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1130000000000004,7.75,4.968,19.954999999999998,12.194000000000001,18.846,6.7599999999999998,11.503,9.7159999999999993,5.8460000000000001,1.766,3.302,1.968,0.622,1.762,0.0040000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4700000000000002,7.7469999999999999,1.748,12.500999999999999,4.5449999999999999,7.4880000000000004,2.7759999999999998,4.5099999999999998,2.496,1.6910000000000001,0.68700000000000006,1.27,0.71299999999999997,0.23999999999999999,0.28799999999999998,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C10H18O,8.6240000000000006,9.0220000000000002,5.8289999999999997,35.25,15.417,18.766999999999999,13.189,12.391,11.753,6.5099999999999998,5.3010000000000002,5.5700000000000003,0.044999999999999998,0.84799999999999998,0.49299999999999999,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,9.2200000000000006,0.48099999999999998,13.356,3.0379999999999998,5.194,1.04,2.621,1.1930000000000001,0.54200000000000004,0.154,0.13800000000000001,0.0060000000000000001,0.062,0.0040000000000000001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4470000000000001,8.7240000000000002,1.5740000000000001,14.712,4.0330000000000004,6.7380000000000004,2.778,4.157,2.0870000000000002,1.5880000000000001,0.76900000000000002,0.61599999999999999,0.014999999999999999,0.22700000000000001,0.044999999999999998,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3989999999999991,9.2200000000000006,5.6699999999999999,33.231999999999999,14.156000000000001,18.353000000000002,12.663,11.864000000000001,11.432,6.0149999999999997,4.7999999999999998,4.9610000000000003,0.042000000000000003,0.79200000000000004,0.437,0.10199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.097,8.6899999999999995,2.0019999999999998,15.968999999999999,4.7380000000000004,7.8029999999999999,3.5830000000000002,4.843,2.7109999999999999,2.0430000000000001,1.097,0.92600000000000005,0.017999999999999999,0.29299999999999998,0.071999999999999995,0.017000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,C10H18O,8.0210000000000008,9.2599999999999998,4.2460000000000004,38.024000000000001,17.742000000000001,15.474,13.554,9.1910000000000007,12.238,6.1459999999999999,7.548,2.9390000000000001,1.8,1.7030000000000001,1.885,0.059999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69099999999999995,9.2560000000000002,0.30499999999999999,13.301,3.6699999999999999,3.3410000000000002,2.7989999999999999,1.3009999999999999,2.2050000000000001,0.38600000000000001,0.38200000000000001,0.23799999999999999,0.13700000000000001,0.050999999999999997,0.012999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3999999999999999,9.2560000000000002,1.0149999999999999,15.266999999999999,4.9660000000000002,4.4249999999999998,3.9260000000000002,2.6190000000000002,3.8740000000000001,1.343,1.534,0.55000000000000004,0.5,0.25800000000000001,0.16800000000000001,0.0050000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5590000000000002,9.2599999999999998,4.109,35.820999999999998,16.858000000000001,16.059000000000001,12.970000000000001,8.7569999999999997,11.927,5.8680000000000003,6.9169999999999998,2.661,1.6850000000000001,1.538,1.6719999999999999,0.053999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0539999999999998,9.2560000000000002,1.3080000000000001,16.670999999999999,5.7400000000000002,5.2729999999999997,4.718,3.1920000000000002,4.5860000000000003,1.7569999999999999,2.0579999999999998,0.71999999999999997,0.64300000000000002,0.36599999999999999,0.27300000000000002,0.0089999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,C10H16,7.2000000000000002,9.0470000000000006,3.9199999999999999,21.244,12.311,21.074999999999999,12.246,13.972,7.806,3.2589999999999999,3.5710000000000002,0.0,0.0080000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60599999999999998,9.0429999999999993,1.03,10.265000000000001,1.9550000000000001,2.3650000000000002,1.9279999999999999,0.75,1.03,0.066000000000000003,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1520000000000001,9.0429999999999993,1.5680000000000001,11.753,3.8919999999999999,6.2729999999999997,3.617,2.6349999999999998,1.8,0.40699999999999997,0.60399999999999998,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7809999999999997,9.0459999999999994,3.6899999999999999,20.186,11.491,19.727,11.348000000000001,12.728999999999999,7.1040000000000001,2.9209999999999998,3.242,0.0,0.0070000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7410000000000001,9.0429999999999993,1.796,12.494,4.7089999999999996,7.8390000000000004,4.3780000000000001,3.5489999999999999,2.2250000000000001,0.60299999999999998,0.83799999999999997,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,C10H20O,9.3490000000000002,9.7490000000000006,5.9320000000000004,43.579999999999998,16.099,19.398,20.568000000000001,12.659000000000001,16.122,8.0860000000000003,9.5399999999999991,0.61199999999999999,0.045999999999999999,0.0040000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81100000000000005,9.9440000000000008,0.46600000000000003,16.521000000000001,4.5359999999999996,1.5389999999999999,1.6080000000000001,1.8109999999999999,2.734,0.30599999999999999,0.224,0.0050000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6640000000000001,9.4489999999999998,1.3959999999999999,18.233000000000001,5.3410000000000002,4.9749999999999996,4.4660000000000002,3.468,4.7460000000000004,1.3919999999999999,1.278,0.056000000000000001,0.0040000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0809999999999995,9.9459999999999997,5.9359999999999999,41.206000000000003,14.866,18.262,19.812000000000001,12.631,15.217000000000001,7.3490000000000002,8.5730000000000004,0.54300000000000004,0.041000000000000002,0.0030000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3730000000000002,9.4149999999999991,1.778,19.826000000000001,5.984,6.4139999999999997,5.7519999999999998,4.1900000000000004,5.6749999999999998,1.9239999999999999,1.8620000000000001,0.089999999999999997,0.0070000000000000001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,C10H20O,9.3490000000000002,9.7490000000000006,5.9340000000000002,43.579999999999998,16.106000000000002,19.413,20.567,12.656000000000001,16.114000000000001,8.0860000000000003,9.5380000000000003,0.61199999999999999,0.045999999999999999,0.0040000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81100000000000005,9.9440000000000008,0.46600000000000003,16.521999999999998,4.5359999999999996,1.54,1.6080000000000001,1.8100000000000001,2.734,0.30599999999999999,0.224,0.0050000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6640000000000001,9.4489999999999998,1.3959999999999999,18.234000000000002,5.3410000000000002,4.9779999999999998,4.4669999999999996,3.4670000000000001,4.7460000000000004,1.3919999999999999,1.278,0.056000000000000001,0.0040000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0809999999999995,9.9459999999999997,5.9379999999999997,41.206000000000003,14.871,18.276,19.811,12.628,15.210000000000001,7.3490000000000002,8.5709999999999997,0.54300000000000004,0.041000000000000002,0.0030000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3730000000000002,9.4149999999999991,1.778,19.826000000000001,5.9850000000000003,6.4180000000000001,5.7530000000000001,4.1879999999999997,5.673,1.9239999999999999,1.8620000000000001,0.089999999999999997,0.0070000000000000001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
