molid,identifiere,GGI1,GGI2,GGI3,GGI4,GGI5,GGI6,GGI7,GGI8,GGI9,GGI10,JGI1,JGI2,JGI3,JGI4,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,JGT
1,C10H14O,3.0,1.778,0.68799999999999994,0.65300000000000002,0.23599999999999999,0.0,0.0,0.0,0.0,0.0,0.27300000000000002,0.11899999999999999,0.049000000000000002,0.082000000000000003,0.047,0.0,0.0,0.0,0.0,0.0,0.56899999999999995
2,C5H10O3,2.0,1.111,0.375,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.28599999999999998,0.13900000000000001,0.053999999999999999,0.040000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.51800000000000002
3,C10H18O,3.0,1.556,1.0629999999999999,0.49299999999999999,0.23599999999999999,0.0,0.0,0.0,0.0,0.0,0.27300000000000002,0.104,0.075999999999999998,0.049000000000000002,0.079000000000000001,0.0,0.0,0.0,0.0,0.0,0.57999999999999996
4,C10H18O,3.0,1.556,1.0629999999999999,0.49299999999999999,0.23599999999999999,0.0,0.0,0.0,0.0,0.0,0.27300000000000002,0.104,0.075999999999999998,0.049000000000000002,0.079000000000000001,0.0,0.0,0.0,0.0,0.0,0.57999999999999996
5,C10H14O,3.0,1.778,0.68799999999999994,0.65300000000000002,0.23599999999999999,0.0,0.0,0.0,0.0,0.0,0.27300000000000002,0.11899999999999999,0.049000000000000002,0.082000000000000003,0.047,0.0,0.0,0.0,0.0,0.0,0.56899999999999995
6,C10H18O,3.0,1.556,1.0629999999999999,0.49299999999999999,0.23599999999999999,0.0,0.0,0.0,0.0,0.0,0.27300000000000002,0.104,0.075999999999999998,0.049000000000000002,0.079000000000000001,0.0,0.0,0.0,0.0,0.0,0.57999999999999996
7,C10H18O,3.0,1.556,1.0629999999999999,0.49299999999999999,0.23599999999999999,0.0,0.0,0.0,0.0,0.0,0.27300000000000002,0.104,0.075999999999999998,0.049000000000000002,0.079000000000000001,0.0,0.0,0.0,0.0,0.0,0.57999999999999996
8,C10H16,3.5,2.222,1.75,0.44400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.13900000000000001,0.13500000000000001,0.088999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.68100000000000005
9,C10H20O,3.5,1.778,1.25,0.35999999999999999,0.188,0.0,0.0,0.0,0.0,0.0,0.318,0.111,0.088999999999999996,0.033000000000000002,0.063,0.0,0.0,0.0,0.0,0.0,0.61399999999999999
10,C10H20O,3.5,1.778,1.25,0.35999999999999999,0.188,0.0,0.0,0.0,0.0,0.0,0.318,0.111,0.088999999999999996,0.033000000000000002,0.063,0.0,0.0,0.0,0.0,0.0,0.61399999999999999
