molid,identifiere,ATS1m,ATS2m,ATS3m,ATS4m,ATS5m,ATS6m,ATS7m,ATS8m,ATS1v,ATS2v,ATS3v,ATS4v,ATS5v,ATS6v,ATS7v,ATS8v,ATS1e,ATS2e,ATS3e,ATS4e,ATS5e,ATS6e,ATS7e,ATS8e,ATS1p,ATS2p,ATS3p,ATS4p,ATS5p,ATS6p,ATS7p,ATS8p,MATS1m,MATS2m,MATS3m,MATS4m,MATS5m,MATS6m,MATS7m,MATS8m,MATS1v,MATS2v,MATS3v,MATS4v,MATS5v,MATS6v,MATS7v,MATS8v,MATS1e,MATS2e,MATS3e,MATS4e,MATS5e,MATS6e,MATS7e,MATS8e,MATS1p,MATS2p,MATS3p,MATS4p,MATS5p,MATS6p,MATS7p,MATS8p,GATS1m,GATS2m,GATS3m,GATS4m,GATS5m,GATS6m,GATS7m,GATS8m,GATS1v,GATS2v,GATS3v,GATS4v,GATS5v,GATS6v,GATS7v,GATS8v,GATS1e,GATS2e,GATS3e,GATS4e,GATS5e,GATS6e,GATS7e,GATS8e,GATS1p,GATS2p,GATS3p,GATS4p,GATS5p,GATS6p,GATS7p,GATS8p
1,C10H14O,2.512,2.8130000000000002,2.7719999999999998,2.2679999999999998,1.897,1.099,0.0,0.0,2.4430000000000001,2.71,2.605,2.0819999999999999,1.6140000000000001,1.099,0.0,0.0,2.512,2.8130000000000002,2.7709999999999999,2.2669999999999999,1.895,1.099,0.0,0.0,2.4380000000000002,2.702,2.593,2.0680000000000001,1.591,1.099,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.17499999999999999,-0.34000000000000002,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.17499999999999999,-0.34000000000000002,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.17499999999999999,-0.34000000000000002,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.17499999999999999,-0.34000000000000002,0.10000000000000001,0.0,0.0,0.5,0.73299999999999998,1.179,1.375,2.2000000000000002,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,1.375,2.2000000000000002,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,1.375,2.2000000000000002,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,1.375,2.2000000000000002,0.0,0.0,0.0
2,C5H10O3,2.2330000000000001,2.4369999999999998,2.3559999999999999,1.734,1.204,0.0,0.0,0.0,1.8,1.7609999999999999,1.621,1.3919999999999999,0.92100000000000004,0.0,0.0,0.0,2.2309999999999999,2.4329999999999998,2.3519999999999999,1.732,1.202,0.0,0.0,0.0,1.7609999999999999,1.7010000000000001,1.5640000000000001,1.363,0.89800000000000002,0.0,0.0,0.0,-0.314,-0.26700000000000002,0.219,-0.20000000000000001,-0.20000000000000001,0.0,0.0,0.0,-0.314,-0.26700000000000002,0.219,-0.20000000000000001,-0.20000000000000001,0.0,0.0,0.0,-0.314,-0.26700000000000002,0.219,-0.20000000000000001,-0.20000000000000001,0.0,0.0,0.0,-0.314,-0.26700000000000002,0.219,-0.20000000000000001,-0.20000000000000001,0.0,0.0,0.0,1.0669999999999999,1.167,0.80000000000000004,0.93300000000000005,0.93300000000000005,0.0,0.0,0.0,1.0669999999999999,1.167,0.80000000000000004,0.93300000000000005,0.93300000000000005,0.0,0.0,0.0,1.0669999999999999,1.167,0.80000000000000004,0.93300000000000005,0.93300000000000005,0.0,0.0,0.0,1.0669999999999999,1.167,0.80000000000000004,0.93300000000000005,0.93300000000000005,0.0,0.0,0.0
3,C10H18O,2.512,2.8130000000000002,2.7719999999999998,2.512,1.3859999999999999,1.099,0.0,0.0,2.4430000000000001,2.71,2.605,2.202,1.3859999999999999,1.099,0.0,0.0,2.512,2.8130000000000002,2.7709999999999999,2.5099999999999998,1.3859999999999999,1.099,0.0,0.0,2.4380000000000002,2.702,2.593,2.177,1.3859999999999999,1.099,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0
4,C10H18O,2.512,2.8130000000000002,2.7719999999999998,2.512,1.3859999999999999,1.099,0.0,0.0,2.4430000000000001,2.71,2.605,2.202,1.3859999999999999,1.099,0.0,0.0,2.512,2.8130000000000002,2.7709999999999999,2.5099999999999998,1.3859999999999999,1.099,0.0,0.0,2.4380000000000002,2.702,2.593,2.177,1.3859999999999999,1.099,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0
5,C10H14O,2.512,2.8130000000000002,2.7719999999999998,2.2679999999999998,1.897,1.099,0.0,0.0,2.4430000000000001,2.71,2.605,2.0819999999999999,1.6140000000000001,1.099,0.0,0.0,2.512,2.8130000000000002,2.7709999999999999,2.2669999999999999,1.895,1.099,0.0,0.0,2.4380000000000002,2.702,2.593,2.0680000000000001,1.591,1.099,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.17499999999999999,-0.34000000000000002,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.17499999999999999,-0.34000000000000002,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.17499999999999999,-0.34000000000000002,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.17499999999999999,-0.34000000000000002,0.10000000000000001,0.0,0.0,0.5,0.73299999999999998,1.179,1.375,2.2000000000000002,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,1.375,2.2000000000000002,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,1.375,2.2000000000000002,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,1.375,2.2000000000000002,0.0,0.0,0.0
6,C10H18O,2.512,2.8130000000000002,2.7719999999999998,2.512,1.3859999999999999,1.099,0.0,0.0,2.4430000000000001,2.71,2.605,2.202,1.3859999999999999,1.099,0.0,0.0,2.512,2.8130000000000002,2.7709999999999999,2.5099999999999998,1.3859999999999999,1.099,0.0,0.0,2.4380000000000002,2.702,2.593,2.177,1.3859999999999999,1.099,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0
7,C10H18O,2.512,2.8130000000000002,2.7719999999999998,2.512,1.3859999999999999,1.099,0.0,0.0,2.4430000000000001,2.71,2.605,2.202,1.3859999999999999,1.099,0.0,0.0,2.512,2.8130000000000002,2.7709999999999999,2.5099999999999998,1.3859999999999999,1.099,0.0,0.0,2.4380000000000002,2.702,2.593,2.177,1.3859999999999999,1.099,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,-0.047,-0.13600000000000001,-0.34000000000000002,0.10000000000000001,0.10000000000000001,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0,0.5,0.73299999999999998,1.179,2.2000000000000002,0.0,0.0,0.0,0.0
8,C10H16,2.4849999999999999,2.8330000000000002,2.6389999999999998,1.792,0.0,0.0,0.0,0.0,2.4849999999999999,2.8330000000000002,2.6389999999999998,1.792,0.0,0.0,0.0,0.0,2.4849999999999999,2.8330000000000002,2.6389999999999998,1.792,0.0,0.0,0.0,0.0,2.4849999999999999,2.8330000000000002,2.6389999999999998,1.792,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,C10H20O,2.512,2.8719999999999999,2.7719999999999998,2.5899999999999999,1.3859999999999999,0.0,0.0,0.0,2.4430000000000001,2.774,2.605,2.3069999999999999,1.3859999999999999,0.0,0.0,0.0,2.512,2.871,2.7709999999999999,2.5880000000000001,1.3859999999999999,0.0,0.0,0.0,2.4380000000000002,2.7669999999999999,2.593,2.2839999999999998,1.3859999999999999,0.0,0.0,0.0,0.0,-0.037999999999999999,-0.13600000000000001,-0.29999999999999999,0.10000000000000001,0.0,0.0,0.0,0.0,-0.037999999999999999,-0.13600000000000001,-0.29999999999999999,0.10000000000000001,0.0,0.0,0.0,0.0,-0.036999999999999998,-0.13600000000000001,-0.29999999999999999,0.10000000000000001,0.0,0.0,0.0,0.0,-0.036999999999999998,-0.13600000000000001,-0.29999999999999999,0.10000000000000001,0.0,0.0,0.0,0.5,0.68799999999999994,1.179,2.0,0.0,0.0,0.0,0.0,0.5,0.68799999999999994,1.179,2.0,0.0,0.0,0.0,0.0,0.5,0.68700000000000006,1.179,2.0,0.0,0.0,0.0,0.0,0.5,0.68799999999999994,1.179,2.0,0.0,0.0,0.0,0.0
10,C10H20O,2.512,2.8719999999999999,2.7719999999999998,2.5899999999999999,1.3859999999999999,0.0,0.0,0.0,2.4430000000000001,2.774,2.605,2.3069999999999999,1.3859999999999999,0.0,0.0,0.0,2.512,2.871,2.7709999999999999,2.5880000000000001,1.3859999999999999,0.0,0.0,0.0,2.4380000000000002,2.7669999999999999,2.593,2.2839999999999998,1.3859999999999999,0.0,0.0,0.0,0.0,-0.037999999999999999,-0.13600000000000001,-0.29999999999999999,0.10000000000000001,0.0,0.0,0.0,0.0,-0.037999999999999999,-0.13600000000000001,-0.29999999999999999,0.10000000000000001,0.0,0.0,0.0,0.0,-0.036999999999999998,-0.13600000000000001,-0.29999999999999999,0.10000000000000001,0.0,0.0,0.0,0.0,-0.036999999999999998,-0.13600000000000001,-0.29999999999999999,0.10000000000000001,0.0,0.0,0.0,0.5,0.68799999999999994,1.179,2.0,0.0,0.0,0.0,0.0,0.5,0.68799999999999994,1.179,2.0,0.0,0.0,0.0,0.0,0.5,0.68700000000000006,1.179,2.0,0.0,0.0,0.0,0.0,0.5,0.68799999999999994,1.179,2.0,0.0,0.0,0.0,0.0
