molid,identifiere,L1u,L2u,L3u,P1u,P2u,G1u,G2u,G3u,E1u,E2u,E3u,L1m,L2m,L3m,P1m,P2m,G1m,G2m,G3m,E1m,E2m,E3m,L1v,L2v,L3v,P1v,P2v,G1v,G2v,G3v,E1v,E2v,E3v,L1e,L2e,L3e,P1e,P2e,G1e,G2e,G3e,E1e,E2e,E3e,L1p,L2p,L3p,P1p,P2p,G1p,G2p,G3p,E1p,E2p,E3p,L1s,L2s,L3s,P1s,P2s,G1s,G2s,G3s,E1s,E2s,E3s,Tu,Tm,Tv,Te,Tp,Ts,Au,Am,Av,Ae,Ap,As,Gu,Gm,Gs,Ku,Km,Kv,Ke,Kp,Ks,Du,Dm,Dv,De,Dp,Ds,Vu,Vm,Vv,Ve,Vp,Vs
1,C10H14O,5.9450000000000003,1.256,0.94899999999999995,0.72999999999999998,0.154,0.19,0.20100000000000001,0.21199999999999999,0.50700000000000001,0.38500000000000001,0.376,4.641,1.131,0.40200000000000002,0.752,0.183,0.17699999999999999,0.17699999999999999,0.20100000000000001,0.318,0.30399999999999999,0.069000000000000006,5.1459999999999999,1.004,0.64100000000000001,0.75800000000000001,0.14799999999999999,0.21199999999999999,0.20100000000000001,0.20100000000000001,0.38,0.24399999999999999,0.17199999999999999,5.8799999999999999,1.304,0.91900000000000004,0.72599999999999998,0.161,0.19,0.20100000000000001,0.20100000000000001,0.496,0.41599999999999998,0.35299999999999998,5.2999999999999998,1.02,0.70299999999999996,0.755,0.14499999999999999,0.21199999999999999,0.20100000000000001,0.20100000000000001,0.40300000000000002,0.251,0.20699999999999999,4.7430000000000003,1.2470000000000001,0.309,0.753,0.19800000000000001,0.224,0.224,0.224,0.35399999999999998,0.33800000000000002,0.041000000000000002,8.1500000000000004,6.1740000000000004,6.7919999999999998,8.1029999999999998,7.0229999999999997,6.2990000000000004,14.298,7.569,9.1120000000000001,14.27,9.8469999999999995,7.7649999999999997,0.20100000000000001,0.185,0.224,0.59399999999999997,0.628,0.63700000000000001,0.58899999999999997,0.63200000000000001,0.629,0.42299999999999999,0.23000000000000001,0.26600000000000001,0.42199999999999999,0.28699999999999998,0.24399999999999999,29.530000000000001,15.853999999999999,19.218,29.420000000000002,20.669,15.891
2,C5H10O3,5.742,1.0649999999999999,0.45900000000000002,0.79000000000000004,0.14699999999999999,0.23000000000000001,0.247,0.28599999999999998,0.63100000000000001,0.50900000000000001,0.27700000000000002,3.931,0.93500000000000005,0.13600000000000001,0.78600000000000003,0.187,0.193,0.193,0.26600000000000001,0.29299999999999998,0.29999999999999999,0.024,4.9610000000000003,0.874,0.29099999999999998,0.81000000000000005,0.14299999999999999,0.193,0.21199999999999999,0.21199999999999999,0.46999999999999997,0.34100000000000003,0.112,5.5309999999999997,1.0880000000000001,0.432,0.78400000000000003,0.154,0.193,0.23000000000000001,0.23000000000000001,0.58299999999999996,0.52000000000000002,0.246,5.1970000000000001,0.89000000000000001,0.33100000000000002,0.81000000000000005,0.13900000000000001,0.193,0.33100000000000002,0.21199999999999999,0.51800000000000002,0.35699999999999998,0.14399999999999999,3.7829999999999999,1.0569999999999999,0.071999999999999995,0.77000000000000002,0.215,0.25,0.25,0.25,0.28299999999999997,0.27300000000000002,0.0070000000000000001,7.2670000000000003,5.0019999999999998,6.1269999999999998,7.0510000000000002,6.4180000000000001,4.9119999999999999,9.2420000000000009,4.3369999999999997,6.0380000000000003,8.875,6.6379999999999999,4.3460000000000001,0.253,0.215,0.25,0.68500000000000005,0.67900000000000005,0.71499999999999997,0.67700000000000005,0.71499999999999997,0.65500000000000003,0.47299999999999998,0.20599999999999999,0.308,0.45000000000000001,0.34000000000000002,0.187,19.317,9.8390000000000004,13.428000000000001,18.524000000000001,14.586,9.5459999999999994
3,C10H18O,5.3490000000000002,1.5640000000000001,1.0189999999999999,0.67400000000000004,0.19700000000000001,0.17100000000000001,0.18099999999999999,0.23899999999999999,0.48499999999999999,0.33100000000000002,0.42299999999999999,4.1609999999999996,1.266,0.44500000000000001,0.70899999999999996,0.216,0.17100000000000001,0.20899999999999999,0.17100000000000001,0.29499999999999998,0.222,0.080000000000000002,4.827,1.206,0.70999999999999996,0.71599999999999997,0.17899999999999999,0.17100000000000001,0.17100000000000001,0.18099999999999999,0.39400000000000002,0.19600000000000001,0.20499999999999999,5.2640000000000002,1.5960000000000001,0.99199999999999999,0.67000000000000004,0.20300000000000001,0.17100000000000001,0.17100000000000001,0.20899999999999999,0.46999999999999997,0.34499999999999997,0.40200000000000002,4.9569999999999999,1.2490000000000001,0.77500000000000002,0.70999999999999996,0.17899999999999999,0.17100000000000001,0.17100000000000001,0.18099999999999999,0.41599999999999998,0.20999999999999999,0.245,4.0919999999999996,1.371,0.32700000000000001,0.70699999999999996,0.23699999999999999,0.224,0.224,0.224,0.28899999999999998,0.26600000000000001,0.042999999999999997,7.9320000000000004,5.8710000000000004,6.7430000000000003,7.8520000000000003,6.9800000000000004,5.7910000000000004,15.407,7.681,10.106,15.208,10.997,7.4000000000000004,0.19500000000000001,0.183,0.224,0.51200000000000001,0.56299999999999994,0.57399999999999995,0.50600000000000001,0.56499999999999995,0.56000000000000005,0.41299999999999998,0.19900000000000001,0.26500000000000001,0.40600000000000003,0.28999999999999998,0.19900000000000001,31.859999999999999,15.896000000000001,20.983000000000001,31.398,22.771000000000001,15.026999999999999
4,C10H18O,5.992,1.698,0.58499999999999996,0.72399999999999998,0.20499999999999999,0.17100000000000001,0.218,0.19,0.54600000000000004,0.52700000000000002,0.371,4.3239999999999998,1.4530000000000001,0.186,0.72499999999999998,0.24399999999999999,0.17100000000000001,0.27400000000000002,0.20899999999999999,0.28499999999999998,0.38400000000000001,0.035000000000000003,5.2270000000000003,1.3999999999999999,0.34999999999999998,0.749,0.20100000000000001,0.17100000000000001,0.19,0.19,0.41499999999999998,0.35699999999999998,0.13200000000000001,5.8819999999999997,1.7230000000000001,0.57399999999999995,0.71899999999999997,0.21099999999999999,0.17100000000000001,0.19,0.17100000000000001,0.52600000000000002,0.54200000000000004,0.35399999999999998,5.4100000000000001,1.4359999999999999,0.39500000000000002,0.747,0.19800000000000001,0.17100000000000001,0.19900000000000001,0.17100000000000001,0.44500000000000001,0.377,0.16800000000000001,3.9100000000000001,1.667,0.090999999999999998,0.68999999999999995,0.29399999999999998,0.224,0.224,0.26100000000000001,0.23499999999999999,0.49199999999999999,0.0080000000000000002,8.2759999999999998,5.9630000000000001,6.976,8.1790000000000003,7.2400000000000002,5.6680000000000001,14.678000000000001,7.3570000000000002,9.6329999999999991,14.499000000000001,10.471,7.0259999999999998,0.192,0.214,0.23599999999999999,0.58599999999999997,0.58799999999999997,0.624,0.57899999999999996,0.621,0.53500000000000003,0.48099999999999998,0.23499999999999999,0.30099999999999999,0.47399999999999998,0.33000000000000002,0.245,28.91,14.487,19.167999999999999,28.491,20.776,13.289
5,C10H14O,5.9450000000000003,1.256,0.94899999999999995,0.72999999999999998,0.154,0.19,0.20100000000000001,0.20100000000000001,0.50700000000000001,0.378,0.371,4.641,1.131,0.40200000000000002,0.752,0.183,0.20100000000000001,0.17699999999999999,0.20100000000000001,0.31900000000000001,0.30199999999999999,0.067000000000000004,5.1459999999999999,1.004,0.64100000000000001,0.75800000000000001,0.14799999999999999,0.21199999999999999,0.223,0.20100000000000001,0.38,0.24099999999999999,0.16900000000000001,5.8799999999999999,1.304,0.91900000000000004,0.72599999999999998,0.161,0.19,0.21199999999999999,0.20100000000000001,0.496,0.40899999999999997,0.34799999999999998,5.2999999999999998,1.02,0.70299999999999996,0.755,0.14499999999999999,0.19,0.20100000000000001,0.20100000000000001,0.40300000000000002,0.247,0.20300000000000001,4.7430000000000003,1.2470000000000001,0.309,0.753,0.19800000000000001,0.224,0.224,0.224,0.35599999999999998,0.33400000000000002,0.040000000000000001,8.1500000000000004,6.1740000000000004,6.7919999999999998,8.1029999999999998,7.0229999999999997,6.2990000000000004,14.298,7.569,9.1120000000000001,14.27,9.8469999999999995,7.766,0.19700000000000001,0.193,0.224,0.59399999999999997,0.628,0.63700000000000001,0.58899999999999997,0.63200000000000001,0.629,0.41799999999999998,0.22900000000000001,0.26300000000000001,0.41799999999999998,0.28399999999999997,0.24299999999999999,29.530999999999999,15.853999999999999,19.218,29.420999999999999,20.669,15.891999999999999
6,C10H18O,5.3490000000000002,1.5640000000000001,1.0189999999999999,0.67400000000000004,0.19700000000000001,0.17100000000000001,0.18099999999999999,0.23899999999999999,0.48499999999999999,0.33100000000000002,0.42299999999999999,4.1609999999999996,1.266,0.44500000000000001,0.70899999999999996,0.216,0.17100000000000001,0.20899999999999999,0.17100000000000001,0.29499999999999998,0.222,0.080000000000000002,4.827,1.206,0.70999999999999996,0.71599999999999997,0.17899999999999999,0.17100000000000001,0.17100000000000001,0.18099999999999999,0.39400000000000002,0.19600000000000001,0.20499999999999999,5.2640000000000002,1.5960000000000001,0.99199999999999999,0.67000000000000004,0.20300000000000001,0.17100000000000001,0.17100000000000001,0.20899999999999999,0.46999999999999997,0.34499999999999997,0.40200000000000002,4.9569999999999999,1.2490000000000001,0.77500000000000002,0.70999999999999996,0.17899999999999999,0.17100000000000001,0.17100000000000001,0.18099999999999999,0.41599999999999998,0.20999999999999999,0.245,4.0919999999999996,1.371,0.32700000000000001,0.70699999999999996,0.23699999999999999,0.224,0.224,0.224,0.28899999999999998,0.26600000000000001,0.042999999999999997,7.9320000000000004,5.8710000000000004,6.7430000000000003,7.8520000000000003,6.9800000000000004,5.7910000000000004,15.407,7.681,10.106,15.209,10.997,7.4000000000000004,0.19500000000000001,0.183,0.224,0.51200000000000001,0.56299999999999994,0.57399999999999995,0.50600000000000001,0.56499999999999995,0.56000000000000005,0.41299999999999998,0.19900000000000001,0.26500000000000001,0.40600000000000003,0.28999999999999998,0.19900000000000001,31.859999999999999,15.896000000000001,20.983000000000001,31.398,22.771999999999998,15.026999999999999
7,C10H18O,5.992,1.698,0.58499999999999996,0.72399999999999998,0.20499999999999999,0.17100000000000001,0.218,0.19,0.54600000000000004,0.52700000000000002,0.371,4.3239999999999998,1.4530000000000001,0.186,0.72499999999999998,0.24399999999999999,0.17100000000000001,0.27400000000000002,0.20899999999999999,0.28499999999999998,0.38400000000000001,0.035000000000000003,5.2270000000000003,1.3999999999999999,0.34999999999999998,0.749,0.20100000000000001,0.17100000000000001,0.19,0.19,0.41499999999999998,0.35699999999999998,0.13200000000000001,5.8819999999999997,1.7230000000000001,0.57399999999999995,0.71899999999999997,0.21099999999999999,0.17100000000000001,0.19,0.17100000000000001,0.52600000000000002,0.54200000000000004,0.35399999999999998,5.4100000000000001,1.4359999999999999,0.39500000000000002,0.747,0.19800000000000001,0.17100000000000001,0.19900000000000001,0.17100000000000001,0.44500000000000001,0.377,0.16800000000000001,3.9100000000000001,1.667,0.090999999999999998,0.68999999999999995,0.29399999999999998,0.224,0.224,0.26100000000000001,0.23499999999999999,0.49199999999999999,0.0080000000000000002,8.2759999999999998,5.9630000000000001,6.976,8.1790000000000003,7.2400000000000002,5.6680000000000001,14.678000000000001,7.3570000000000002,9.6329999999999991,14.499000000000001,10.471,7.0270000000000001,0.192,0.214,0.23599999999999999,0.58599999999999997,0.58799999999999997,0.624,0.57899999999999996,0.621,0.53500000000000003,0.48099999999999998,0.23499999999999999,0.30099999999999999,0.47399999999999998,0.33000000000000002,0.245,28.911000000000001,14.487,19.167999999999999,28.491,20.777000000000001,13.289
8,C10H16,3.1669999999999998,1.6619999999999999,1.4079999999999999,0.50800000000000001,0.26600000000000001,0.19800000000000001,0.219,0.17499999999999999,0.44900000000000001,0.44400000000000001,0.373,2.2050000000000001,1.0349999999999999,0.80900000000000005,0.54500000000000004,0.25600000000000001,0.17499999999999999,0.219,0.17499999999999999,0.219,0.17499999999999999,0.129,2.6019999999999999,1.2929999999999999,1.0569999999999999,0.52500000000000002,0.26100000000000001,0.19800000000000001,0.20799999999999999,0.17499999999999999,0.30399999999999999,0.27100000000000002,0.215,3.1389999999999998,1.6439999999999999,1.391,0.50800000000000001,0.26600000000000001,0.19800000000000001,0.19800000000000001,0.17499999999999999,0.441,0.435,0.36399999999999999,2.7080000000000002,1.3620000000000001,1.123,0.52100000000000002,0.26200000000000001,0.19800000000000001,0.19800000000000001,0.17499999999999999,0.32900000000000001,0.29999999999999999,0.24199999999999999,2.085,0.88500000000000001,0.67800000000000005,0.57099999999999995,0.24299999999999999,0.23100000000000001,0.23100000000000001,0.23100000000000001,0.19700000000000001,0.129,0.091999999999999998,6.2370000000000001,4.0499999999999998,4.952,6.1740000000000004,5.194,3.6480000000000001,12.061999999999999,4.9050000000000002,7.4809999999999999,11.813000000000001,8.2629999999999999,3.8580000000000001,0.19700000000000001,0.189,0.23100000000000001,0.26200000000000001,0.317,0.28799999999999998,0.26300000000000001,0.28199999999999997,0.35699999999999998,0.42199999999999999,0.17399999999999999,0.26300000000000001,0.41299999999999998,0.28999999999999998,0.13900000000000001,25.709,10.801,15.989000000000001,25.164000000000001,17.602,8.7569999999999997
9,C10H20O,4.008,2.0089999999999999,0.99299999999999999,0.57199999999999995,0.28699999999999998,0.186,0.16800000000000001,0.21099999999999999,0.54500000000000004,0.45800000000000002,0.39800000000000002,3.0739999999999998,1.5860000000000001,0.44600000000000001,0.60199999999999998,0.311,0.16800000000000001,0.17699999999999999,0.186,0.32100000000000001,0.28699999999999998,0.080000000000000002,3.6240000000000001,1.6020000000000001,0.70399999999999996,0.61099999999999999,0.27000000000000002,0.16800000000000001,0.16800000000000001,0.17699999999999999,0.44600000000000001,0.29099999999999998,0.20000000000000001,3.9420000000000002,2.032,0.96899999999999997,0.56799999999999995,0.29299999999999998,0.186,0.16800000000000001,0.17699999999999999,0.52800000000000002,0.46899999999999997,0.379,3.7240000000000002,1.6599999999999999,0.76500000000000001,0.60599999999999998,0.27000000000000002,0.16800000000000001,0.16800000000000001,0.17699999999999999,0.47099999999999997,0.312,0.23599999999999999,2.7730000000000001,1.716,0.32000000000000001,0.57699999999999996,0.35699999999999998,0.26100000000000001,0.224,0.224,0.26100000000000001,0.33700000000000002,0.041000000000000002,7.0099999999999998,5.1059999999999999,5.9299999999999997,6.9420000000000002,6.149,4.8090000000000002,14.026999999999999,6.9539999999999997,9.4830000000000005,13.795,10.301,6.194,0.188,0.17699999999999999,0.23599999999999999,0.35799999999999998,0.40300000000000002,0.41699999999999998,0.35199999999999998,0.40799999999999997,0.40000000000000002,0.46700000000000003,0.22900000000000001,0.312,0.45800000000000002,0.34000000000000002,0.21299999999999999,29.030999999999999,14.234,19.498000000000001,28.495000000000001,21.178999999999998,12.523999999999999
10,C10H20O,4.008,2.0089999999999999,0.99199999999999999,0.57199999999999995,0.28699999999999998,0.186,0.16800000000000001,0.21099999999999999,0.54500000000000004,0.45800000000000002,0.39800000000000002,3.0739999999999998,1.5860000000000001,0.44600000000000001,0.60199999999999998,0.311,0.16800000000000001,0.17699999999999999,0.186,0.32100000000000001,0.28699999999999998,0.080000000000000002,3.6240000000000001,1.6020000000000001,0.70399999999999996,0.61099999999999999,0.27000000000000002,0.16800000000000001,0.16800000000000001,0.17699999999999999,0.44600000000000001,0.29099999999999998,0.20000000000000001,3.9420000000000002,2.032,0.96899999999999997,0.56799999999999995,0.29299999999999998,0.186,0.16800000000000001,0.17699999999999999,0.52800000000000002,0.46899999999999997,0.379,3.7240000000000002,1.6599999999999999,0.76500000000000001,0.60599999999999998,0.27000000000000002,0.16800000000000001,0.16800000000000001,0.17699999999999999,0.47099999999999997,0.312,0.23699999999999999,2.7730000000000001,1.716,0.32000000000000001,0.57699999999999996,0.35699999999999998,0.26100000000000001,0.224,0.224,0.26100000000000001,0.33700000000000002,0.041000000000000002,7.0099999999999998,5.1059999999999999,5.9299999999999997,6.9420000000000002,6.149,4.8090000000000002,14.026999999999999,6.9539999999999997,9.4830000000000005,13.795,10.301,6.194,0.188,0.17699999999999999,0.23599999999999999,0.35799999999999998,0.40300000000000002,0.41699999999999998,0.35199999999999998,0.40799999999999997,0.40000000000000002,0.46700000000000003,0.22900000000000001,0.312,0.45800000000000002,0.34000000000000002,0.21299999999999999,29.030999999999999,14.234,19.498000000000001,28.495000000000001,21.178999999999998,12.523999999999999
