molID,identifier,"('THREEDMORSE', 'Mor04v')","('TOPOLOGICAL', 'MAXDN')","('THREEDMORSE', 'Mor32m')","('ATOMCENTRED_FRAGMENTS', 'O-057')","('GEOMETRICAL', 'AROM')","('THREEDMORSE', 'Mor25m')","('EIGENVALUE_INDICES', 'SEige')","('ATOMCENTRED_FRAGMENTS', 'C-027')","('GEOMETRICAL', 'DISPm')","('THREEDMORSE', 'Mor08v')","('GETAWAY', 'R1e+')","('THREEDMORSE', 'Mor25e')","('GETAWAY', 'HATS6m')","('EDGE_ADJACENCY_INDICES', 'EEig11r')","('BURDEN_EIGENVALUES_DESCRIPTORS', 'BELm8')","('GEOMETRICAL', 'DISPe')","('WHIM', 'P1s')","('ATOMCENTRED_FRAGMENTS', 'C-040')","('CONSTITUTIONAL', 'nBnz')","('TWOD_AUTOCORRELATIONS', 'GATS1m')","('TOPOLOGICAL_CHARGE_INDICES', 'JGT')","('FUNCTIONAL_GROUP_COUNTS', 'nArOH')","('EDGE_ADJACENCY_INDICES', 'EEig12x')","('ATOMCENTRED_FRAGMENTS', 'N-075')","('FUNCTIONAL_GROUP_COUNTS', 'nRCOOH')","('FUNCTIONAL_GROUP_COUNTS', 'nCp')","('GETAWAY', 'R2p')","('TOPOLOGICAL', 'Jhetm')","('WHIM', 'G1m')","('GEOMETRICAL', 'SPAM')","('CONSTITUTIONAL', 'nDB')","('GETAWAY', 'R2m+')"
1,none,0.074999999999999997,1.385,0.221,0.0,0.0,-0.126,0.247,0.0,6.391,-0.35299999999999998,0.16200000000000001,0.25700000000000001,0.047,-1.0,0.28899999999999998,0.20699999999999999,0.753,0.0,0.0,0.5,0.56899999999999995,0.0,0.0,0.0,0.0,2.0,0.68700000000000006,2.7189999999999999,0.17699999999999999,0.41799999999999998,3.0,0.058000000000000003
2,none,-0.20799999999999999,2.3239999999999998,-0.063,0.0,0.0,0.045999999999999999,0.73999999999999999,0.0,8.1850000000000005,-0.126,0.222,0.311,0.029000000000000001,0.0,0.0,0.312,0.77000000000000002,1.0,0.0,1.0669999999999999,0.51800000000000002,0.0,0.0,0.0,0.0,2.0,0.502,3.8839999999999999,0.193,0.48799999999999999,1.0,0.071999999999999995
3,none,0.51100000000000001,1.462,0.20399999999999999,0.0,0.0,0.0070000000000000001,0.247,0.0,3.9060000000000001,-0.316,0.21299999999999999,0.75700000000000001,0.027,-1.0,0.48799999999999999,0.109,0.70699999999999996,0.0,0.0,0.5,0.57999999999999996,0.0,0.0,0.0,0.0,2.0,0.69599999999999995,2.5390000000000001,0.17100000000000001,0.38500000000000001,1.0,0.042999999999999997
4,none,0.82999999999999996,1.1679999999999999,0.035999999999999997,0.0,0.0,-0.104,0.247,0.0,4.4359999999999999,-0.499,0.10299999999999999,0.83499999999999996,0.023,-1.0,0.39500000000000002,0.13200000000000001,0.68999999999999995,0.0,0.0,0.5,0.57999999999999996,0.0,0.0,0.0,0.0,3.0,0.71499999999999997,2.5270000000000001,0.17100000000000001,0.38600000000000001,1.0,0.044999999999999998
5,none,0.090999999999999998,1.385,0.216,0.0,0.0,-0.126,0.247,0.0,6.4349999999999996,-0.35499999999999998,0.16200000000000001,0.27100000000000002,0.047,-1.0,0.28899999999999998,0.20799999999999999,0.753,0.0,0.0,0.5,0.56899999999999995,0.0,0.0,0.0,0.0,2.0,0.68700000000000006,2.7189999999999999,0.20100000000000001,0.41799999999999998,3.0,0.058000000000000003
6,none,0.51200000000000001,1.462,0.20399999999999999,0.0,0.0,0.0070000000000000001,0.247,0.0,3.8799999999999999,-0.316,0.21299999999999999,0.755,0.027,-1.0,0.48799999999999999,0.108,0.70699999999999996,0.0,0.0,0.5,0.57999999999999996,0.0,0.0,0.0,0.0,2.0,0.69499999999999995,2.5390000000000001,0.17100000000000001,0.38500000000000001,1.0,0.042999999999999997
7,none,0.82999999999999996,1.1679999999999999,0.035999999999999997,0.0,0.0,-0.104,0.247,0.0,4.3899999999999997,-0.499,0.10299999999999999,0.83499999999999996,0.023,-1.0,0.39500000000000002,0.13300000000000001,0.68999999999999995,0.0,0.0,0.5,0.57999999999999996,0.0,0.0,0.0,0.0,3.0,0.71499999999999997,2.5270000000000001,0.17100000000000001,0.38600000000000001,1.0,0.044999999999999998
8,none,0.19400000000000001,0.61199999999999999,-0.01,0.0,0.0,-0.26500000000000001,0.0,0.0,1.887,-0.21099999999999999,0.126,0.155,0.0040000000000000001,-1.0,0.42099999999999999,0.012999999999999999,0.57099999999999995,0.0,0.0,0.0,0.68100000000000005,0.0,0.0,0.0,0.0,3.0,0.77300000000000002,2.2970000000000002,0.17499999999999999,0.37,1.0,0.035000000000000003
9,none,1.0029999999999999,1.3720000000000001,0.087999999999999995,0.0,0.0,-0.11700000000000001,0.247,0.0,3.399,-0.81000000000000005,0.154,1.111,0.017000000000000001,-1.0,0.59499999999999997,0.12,0.57699999999999996,0.0,0.0,0.5,0.61399999999999999,0.0,0.0,0.0,0.0,3.0,0.72099999999999997,2.5819999999999999,0.16800000000000001,0.35099999999999998,0.0,0.040000000000000001
10,none,1.0029999999999999,1.3720000000000001,0.087999999999999995,0.0,0.0,-0.11799999999999999,0.247,0.0,3.4060000000000001,-0.81000000000000005,0.154,1.113,0.017000000000000001,-1.0,0.59499999999999997,0.122,0.57699999999999996,0.0,0.0,0.5,0.61399999999999999,0.0,0.0,0.0,0.0,3.0,0.72099999999999997,2.5819999999999999,0.16800000000000001,0.35099999999999998,0.0,0.040000000000000001
