molID,identifier,"('TOPOLOGICAL', 'TI2')","('WALK_PATH_COUNTS', 'MPC04')","('CONNECTIVITY_INDICES', 'X2v')","('INFORMATION_INDICES', 'HVcpx')","('TWOD_AUTOCORRELATIONS', 'GATS1m')","('RDF', 'RDF110m')","('WHIM', 'G2v')","('GETAWAY', 'HATS2u')","('GETAWAY', 'HATS0p')","('GETAWAY', 'R4m+')","('GETAWAY', 'R2e')","('GETAWAY', 'R6p')","('GETAWAY', 'R6p')","('GETAWAY', 'RTp+')","('ATOMCENTRED_FRAGMENTS', 'H-049')","('ATOMCENTRED_FRAGMENTS', 'O-057')","('MOLECULAR_PROPERTIES', 'Hy')","('MOLECULAR_PROPERTIES', 'TPSA(NO)')","('MOLECULAR_PROPERTIES', 'TPSA(Tot)')"
1,none,1.696,17.0,3.2930000000000001,2.3660000000000001,0.5,0.0,0.20100000000000001,0.39700000000000002,0.11,0.032000000000000001,1.7310000000000001,0.13300000000000001,0.13300000000000001,0.066000000000000003,0.0,0.0,-0.877,17.07,17.07
2,none,2.2290000000000001,4.0,1.4279999999999999,2.222,1.0669999999999999,0.0,0.21199999999999999,0.60199999999999998,0.124,0.048000000000000001,1.8169999999999999,0.158,0.158,0.065000000000000002,0.0,0.0,0.079000000000000001,46.530000000000001,46.530000000000001
3,none,1.6020000000000001,19.0,3.9380000000000002,2.2839999999999998,0.5,0.0,0.17100000000000001,0.35399999999999998,0.089999999999999997,0.045999999999999999,1.8240000000000001,0.215,0.215,0.055,0.0,0.0,-0.29399999999999998,20.23,20.23
4,none,1.6020000000000001,19.0,4.2030000000000003,2.2839999999999998,0.5,0.0,0.19,0.39700000000000002,0.079000000000000001,0.050999999999999997,1.958,0.19,0.19,0.042000000000000003,0.0,0.0,-0.877,17.07,17.07
5,none,1.696,17.0,3.2930000000000001,2.3660000000000001,0.5,0.0,0.223,0.39700000000000002,0.11,0.032000000000000001,1.7310000000000001,0.13300000000000001,0.13300000000000001,0.066000000000000003,0.0,0.0,-0.877,17.07,17.07
6,none,1.6020000000000001,19.0,3.9380000000000002,2.2839999999999998,0.5,0.0,0.17100000000000001,0.35399999999999998,0.089999999999999997,0.045999999999999999,1.8240000000000001,0.215,0.215,0.055,0.0,0.0,-0.29399999999999998,20.23,20.23
7,none,1.6020000000000001,19.0,4.2030000000000003,2.2839999999999998,0.5,0.0,0.19,0.39700000000000002,0.079000000000000001,0.050999999999999997,1.958,0.19,0.19,0.042000000000000003,0.0,0.0,-0.877,17.07,17.07
8,none,0.98599999999999999,28.0,4.4900000000000002,1.9930000000000001,0.0,0.0,0.20799999999999999,0.442,0.10199999999999999,0.025999999999999999,1.921,0.11799999999999999,0.11799999999999999,0.050999999999999997,0.0,0.0,-0.95999999999999996,0.0,0.0
9,none,1.661,19.0,4.8239999999999998,2.1499999999999999,0.5,0.0,0.16800000000000001,0.377,0.080000000000000002,0.042000000000000003,1.962,0.28199999999999997,0.28199999999999997,0.044999999999999998,0.0,0.0,-0.29399999999999998,20.23,20.23
10,none,1.661,19.0,4.8239999999999998,2.1499999999999999,0.5,0.0,0.16800000000000001,0.377,0.080000000000000002,0.042000000000000003,1.962,0.28199999999999997,0.28199999999999997,0.044999999999999998,0.0,0.0,-0.29399999999999998,20.23,20.23
