molid,identifiere,BEHm1,BEHm2,BEHm3,BEHm4,BEHm5,BEHm6,BEHm7,BEHm8,BELm1,BELm2,BELm3,BELm4,BELm5,BELm6,BELm7,BELm8,BEHv1,BEHv2,BEHv3,BEHv4,BEHv5,BEHv6,BEHv7,BEHv8,BELv1,BELv2,BELv3,BELv4,BELv5,BELv6,BELv7,BELv8,BEHe1,BEHe2,BEHe3,BEHe4,BEHe5,BEHe6,BEHe7,BEHe8,BELe1,BELe2,BELe3,BELe4,BELe5,BELe6,BELe7,BELe8,BEHp1,BEHp2,BEHp3,BEHp4,BEHp5,BEHp6,BEHp7,BEHp8,BELp1,BELp2,BELp3,BELp4,BELp5,BELp6,BELp7,BELp8
1,C10H14O,3.778,3.3519999999999999,2.851,2.73,2.2469999999999999,2.1869999999999998,1.6519999999999999,1.1759999999999999,1.976,1.675,1.393,1.222,1.1160000000000001,0.84599999999999997,0.43099999999999999,0.28899999999999998,3.77,3.3580000000000001,2.8239999999999998,2.7250000000000001,2.3130000000000002,2.1970000000000001,1.534,1.288,1.9490000000000001,1.619,1.292,1.1719999999999999,0.99099999999999999,0.79900000000000004,0.35999999999999999,0.252,3.8530000000000002,3.4550000000000001,3.0089999999999999,2.9289999999999998,2.5910000000000002,2.4729999999999999,1.9590000000000001,1.6910000000000001,1.8340000000000001,1.466,1.032,0.90900000000000003,0.64500000000000002,0.47099999999999997,0.0,0.0,3.7759999999999998,3.3660000000000001,2.8410000000000002,2.7370000000000001,2.3439999999999999,2.2200000000000002,1.5509999999999999,1.3340000000000001,1.9359999999999999,1.5980000000000001,1.2569999999999999,1.149,0.94499999999999995,0.76900000000000002,0.33000000000000002,0.189
2,C5H10O3,3.5289999999999999,3.0910000000000002,2.6160000000000001,2.1059999999999999,1.8879999999999999,1.0740000000000001,0.95299999999999996,0.083000000000000004,1.7,1.605,1.01,0.82699999999999996,0.48099999999999998,0.21099999999999999,0.0,0.0,3.3650000000000002,3.0699999999999998,2.4550000000000001,1.9039999999999999,1.726,0.98999999999999999,0.45900000000000002,0.29799999999999999,1.7509999999999999,1.5489999999999999,1.0680000000000001,0.80300000000000005,0.624,0.14099999999999999,0.0,0.0,3.6030000000000002,3.2839999999999998,2.7909999999999999,2.3969999999999998,2.2109999999999999,1.5580000000000001,1.226,0.94099999999999995,1.484,1.282,0.68300000000000005,0.29399999999999998,0.078,0.0,0.0,0.0,3.3650000000000002,3.0859999999999999,2.4620000000000002,1.9299999999999999,1.736,1.0329999999999999,0.436,0.38,1.7470000000000001,1.522,1.0509999999999999,0.77900000000000003,0.59399999999999997,0.083000000000000004,0.0,0.0
3,C10H18O,3.7410000000000001,3.3140000000000001,2.903,2.766,2.2349999999999999,2.1509999999999998,1.9039999999999999,1.3280000000000001,2.0049999999999999,1.71,1.411,1.3440000000000001,1.1259999999999999,0.998,0.67300000000000004,0.48799999999999999,3.7469999999999999,3.3420000000000001,2.8479999999999999,2.8109999999999999,2.3149999999999999,2.2090000000000001,1.71,1.4059999999999999,1.966,1.6399999999999999,1.3360000000000001,1.2909999999999999,0.998,0.89200000000000002,0.65800000000000003,0.371,3.843,3.4500000000000002,3.0739999999999998,2.9969999999999999,2.593,2.492,2.2170000000000001,1.8280000000000001,1.831,1.476,1.054,1.024,0.65100000000000002,0.53400000000000003,0.11799999999999999,0.0,3.7549999999999999,3.3540000000000001,2.8620000000000001,2.8290000000000002,2.347,2.2389999999999999,1.732,1.446,1.95,1.6160000000000001,1.3109999999999999,1.2569999999999999,0.95099999999999996,0.84799999999999998,0.622,0.311
4,C10H18O,3.742,3.282,2.9260000000000002,2.7650000000000001,2.331,2.165,1.778,1.411,1.996,1.746,1.4159999999999999,1.2709999999999999,1.2490000000000001,1.0129999999999999,0.60899999999999999,0.39500000000000002,3.7360000000000002,3.3170000000000002,2.839,2.8069999999999999,2.4140000000000001,2.234,1.607,1.5109999999999999,1.96,1.6679999999999999,1.3180000000000001,1.248,1.117,0.90000000000000002,0.47099999999999997,0.37,3.839,3.4470000000000001,3.0539999999999998,2.9980000000000002,2.7000000000000002,2.5089999999999999,2.0489999999999999,1.895,1.821,1.4770000000000001,1.0529999999999999,0.98499999999999999,0.76100000000000001,0.55800000000000005,0.0030000000000000001,0.0,3.7429999999999999,3.331,2.8519999999999999,2.8210000000000002,2.4470000000000001,2.2650000000000001,1.627,1.548,1.9450000000000001,1.6399999999999999,1.284,1.228,1.0680000000000001,0.85599999999999998,0.42699999999999999,0.33200000000000002
5,C10H14O,3.778,3.3519999999999999,2.851,2.73,2.2469999999999999,2.1869999999999998,1.6519999999999999,1.1759999999999999,1.976,1.675,1.393,1.222,1.1160000000000001,0.84599999999999997,0.43099999999999999,0.28899999999999998,3.77,3.3580000000000001,2.8239999999999998,2.7250000000000001,2.3130000000000002,2.1970000000000001,1.534,1.288,1.9490000000000001,1.619,1.292,1.1719999999999999,0.99099999999999999,0.79900000000000004,0.35999999999999999,0.252,3.8530000000000002,3.4550000000000001,3.0089999999999999,2.9289999999999998,2.5910000000000002,2.4729999999999999,1.9590000000000001,1.6910000000000001,1.8340000000000001,1.466,1.032,0.90900000000000003,0.64500000000000002,0.47099999999999997,0.0,0.0,3.7759999999999998,3.3660000000000001,2.8410000000000002,2.7370000000000001,2.3439999999999999,2.2200000000000002,1.5509999999999999,1.3340000000000001,1.9359999999999999,1.5980000000000001,1.2569999999999999,1.149,0.94499999999999995,0.76900000000000002,0.33000000000000002,0.189
6,C10H18O,3.7410000000000001,3.3140000000000001,2.903,2.766,2.2349999999999999,2.1509999999999998,1.9039999999999999,1.3280000000000001,2.0049999999999999,1.71,1.411,1.3440000000000001,1.1259999999999999,0.998,0.67300000000000004,0.48799999999999999,3.7469999999999999,3.3420000000000001,2.8479999999999999,2.8109999999999999,2.3149999999999999,2.2090000000000001,1.71,1.4059999999999999,1.966,1.6399999999999999,1.3360000000000001,1.2909999999999999,0.998,0.89200000000000002,0.65800000000000003,0.371,3.843,3.4500000000000002,3.0739999999999998,2.9969999999999999,2.593,2.492,2.2170000000000001,1.8280000000000001,1.831,1.476,1.054,1.024,0.65100000000000002,0.53400000000000003,0.11799999999999999,0.0,3.7549999999999999,3.3540000000000001,2.8620000000000001,2.8290000000000002,2.347,2.2389999999999999,1.732,1.446,1.95,1.6160000000000001,1.3109999999999999,1.2569999999999999,0.95099999999999996,0.84799999999999998,0.622,0.311
7,C10H18O,3.742,3.282,2.9260000000000002,2.7650000000000001,2.331,2.165,1.778,1.411,1.996,1.746,1.4159999999999999,1.2709999999999999,1.2490000000000001,1.0129999999999999,0.60899999999999999,0.39500000000000002,3.7360000000000002,3.3170000000000002,2.839,2.8069999999999999,2.4140000000000001,2.234,1.607,1.5109999999999999,1.96,1.6679999999999999,1.3180000000000001,1.248,1.117,0.90000000000000002,0.47099999999999997,0.37,3.839,3.4470000000000001,3.0539999999999998,2.9980000000000002,2.7000000000000002,2.5089999999999999,2.0489999999999999,1.895,1.821,1.4770000000000001,1.0529999999999999,0.98499999999999999,0.76100000000000001,0.55800000000000005,0.0030000000000000001,0.0,3.7429999999999999,3.331,2.8519999999999999,2.8210000000000002,2.4470000000000001,2.2650000000000001,1.627,1.548,1.9450000000000001,1.6399999999999999,1.284,1.228,1.0680000000000001,0.85599999999999998,0.42699999999999999,0.33200000000000002
8,C10H16,3.9140000000000001,3.1699999999999999,2.7469999999999999,2.5619999999999998,2.331,2.0720000000000001,1.413,1.159,2.1240000000000001,1.605,1.393,1.2490000000000001,1.2230000000000001,0.85099999999999998,0.52300000000000002,0.42099999999999999,3.9300000000000002,3.2000000000000002,2.7970000000000002,2.6139999999999999,2.4140000000000001,2.1419999999999999,1.512,1.276,2.0830000000000002,1.526,1.2869999999999999,1.1180000000000001,1.117,0.73599999999999999,0.36399999999999999,0.247,3.992,3.3130000000000002,2.9809999999999999,2.8069999999999999,2.7000000000000002,2.3820000000000001,1.859,1.6799999999999999,1.99,1.341,1.022,0.84899999999999998,0.76100000000000001,0.432,0.0,0.0,3.9369999999999998,3.2120000000000002,2.8170000000000002,2.6360000000000001,2.4470000000000001,2.1699999999999999,1.552,1.323,2.069,1.498,1.2490000000000001,1.0800000000000001,1.0680000000000001,0.69399999999999995,0.30499999999999999,0.182
9,C10H20O,3.7389999999999999,3.3100000000000001,2.8660000000000001,2.6379999999999999,2.331,2.331,1.919,1.4219999999999999,2.0139999999999998,1.7589999999999999,1.3500000000000001,1.2490000000000001,1.2490000000000001,1.24,0.67300000000000004,0.59499999999999997,3.746,3.339,2.823,2.6709999999999998,2.4140000000000001,2.4140000000000001,1.716,1.5289999999999999,1.9730000000000001,1.6859999999999999,1.3049999999999999,1.1699999999999999,1.117,1.117,0.66500000000000004,0.432,3.8460000000000001,3.4710000000000001,3.044,2.871,2.7000000000000002,2.7000000000000002,2.2269999999999999,1.903,1.833,1.4970000000000001,1.024,0.89300000000000002,0.76100000000000001,0.76100000000000001,0.12,0.0,3.754,3.3530000000000002,2.8370000000000002,2.6899999999999999,2.4470000000000001,2.4470000000000001,1.7370000000000001,1.5720000000000001,1.956,1.659,1.282,1.1359999999999999,1.0680000000000001,1.0680000000000001,0.63100000000000001,0.371
10,C10H20O,3.7389999999999999,3.3100000000000001,2.8660000000000001,2.6379999999999999,2.331,2.331,1.919,1.4219999999999999,2.0139999999999998,1.7589999999999999,1.3500000000000001,1.2490000000000001,1.2490000000000001,1.24,0.67300000000000004,0.59499999999999997,3.746,3.339,2.823,2.6709999999999998,2.4140000000000001,2.4140000000000001,1.716,1.5289999999999999,1.9730000000000001,1.6859999999999999,1.3049999999999999,1.1699999999999999,1.117,1.117,0.66500000000000004,0.432,3.8460000000000001,3.4710000000000001,3.044,2.871,2.7000000000000002,2.7000000000000002,2.2269999999999999,1.903,1.833,1.4970000000000001,1.024,0.89300000000000002,0.76100000000000001,0.76100000000000001,0.12,0.0,3.754,3.3530000000000002,2.8370000000000002,2.6899999999999999,2.4470000000000001,2.4470000000000001,1.7370000000000001,1.5720000000000001,1.956,1.659,1.282,1.1359999999999999,1.0680000000000001,1.0680000000000001,0.63100000000000001,0.371
