molid,identifiere,MWC01,MWC02,MWC03,MWC04,MWC05,MWC06,MWC07,MWC08,MWC09,MWC10,TWC,SRW01,SRW02,SRW03,SRW04,SRW05,SRW06,SRW07,SRW08,SRW09,SRW10,MPC01,MPC02,MPC03,MPC04,MPC05,MPC06,MPC07,MPC08,MPC09,MPC10,piPC01,piPC02,piPC03,piPC04,piPC05,piPC06,piPC07,piPC08,piPC09,piPC10,TPC,piID,PCR,PCD,CID,BID
1,C10H14O,11.0,3.9700000000000002,4.7619999999999996,5.5949999999999998,6.415,7.2460000000000004,8.0730000000000004,8.9039999999999999,9.7319999999999993,10.561999999999999,87.260000000000005,11.0,22.0,0.0,82.0,0.0,364.0,0.0,1746.0,0.0,8702.0,11.0,15.0,17.0,17.0,20.0,15.0,7.0,0.0,0.0,0.0,2.7080000000000002,3.1349999999999998,3.367,3.4340000000000002,3.7610000000000001,3.714,3.367,0.0,0.0,0.0,29.934999999999999,34.487000000000002,1.1519999999999999,4.5519999999999996,21.234999999999999,11.461
2,C5H10O3,7.0,3.4340000000000002,4.1109999999999998,4.8440000000000003,5.5570000000000004,6.29,7.0129999999999999,7.7450000000000001,8.4719999999999995,9.202,71.667000000000002,8.0,14.0,0.0,46.0,0.0,176.0,0.0,718.0,0.0,3014.0,7.0,8.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.1970000000000001,2.3980000000000001,2.3980000000000001,1.792,1.099,0.0,0.0,0.0,0.0,0.0,17.064,17.882999999999999,1.048,0.81899999999999995,14.496,8.4920000000000009
3,C10H18O,11.0,3.9700000000000002,4.7619999999999996,5.609,6.4219999999999997,7.2720000000000002,8.0879999999999992,8.9390000000000001,9.7560000000000002,10.606999999999999,87.424000000000007,11.0,22.0,0.0,82.0,0.0,364.0,0.0,1762.0,0.0,8902.0,11.0,15.0,17.0,19.0,18.0,15.0,5.0,2.0,0.0,0.0,2.5649999999999999,2.8900000000000001,2.996,3.1349999999999998,3.0449999999999999,2.996,2.0790000000000002,1.3859999999999999,0.0,0.0,30.751000000000001,32.093000000000004,1.044,1.3420000000000001,21.234000000000002,11.470000000000001
4,C10H18O,11.0,3.9700000000000002,4.7619999999999996,5.609,6.4219999999999997,7.2720000000000002,8.0879999999999992,8.9390000000000001,9.7560000000000002,10.606999999999999,87.424000000000007,11.0,22.0,0.0,82.0,0.0,364.0,0.0,1762.0,0.0,8902.0,11.0,15.0,17.0,19.0,18.0,15.0,5.0,2.0,0.0,0.0,2.5649999999999999,2.8900000000000001,3.0449999999999999,3.2189999999999999,3.0449999999999999,2.944,1.946,1.609,0.0,0.0,30.751000000000001,32.262999999999998,1.0489999999999999,1.512,21.234000000000002,11.470000000000001
5,C10H14O,11.0,3.9700000000000002,4.7619999999999996,5.5949999999999998,6.415,7.2460000000000004,8.0730000000000004,8.9039999999999999,9.7319999999999993,10.561999999999999,87.260000000000005,11.0,22.0,0.0,82.0,0.0,364.0,0.0,1746.0,0.0,8702.0,11.0,15.0,17.0,17.0,20.0,15.0,7.0,0.0,0.0,0.0,2.7080000000000002,3.1349999999999998,3.367,3.4340000000000002,3.7610000000000001,3.714,3.367,0.0,0.0,0.0,29.934999999999999,34.487000000000002,1.1519999999999999,4.5519999999999996,21.234999999999999,11.461
6,C10H18O,11.0,3.9700000000000002,4.7619999999999996,5.609,6.4219999999999997,7.2720000000000002,8.0879999999999992,8.9390000000000001,9.7560000000000002,10.606999999999999,87.424000000000007,11.0,22.0,0.0,82.0,0.0,364.0,0.0,1762.0,0.0,8902.0,11.0,15.0,17.0,19.0,18.0,15.0,5.0,2.0,0.0,0.0,2.5649999999999999,2.8900000000000001,2.996,3.1349999999999998,3.0449999999999999,2.996,2.0790000000000002,1.3859999999999999,0.0,0.0,30.751000000000001,32.093000000000004,1.044,1.3420000000000001,21.234000000000002,11.470000000000001
7,C10H18O,11.0,3.9700000000000002,4.7619999999999996,5.609,6.4219999999999997,7.2720000000000002,8.0879999999999992,8.9390000000000001,9.7560000000000002,10.606999999999999,87.424000000000007,11.0,22.0,0.0,82.0,0.0,364.0,0.0,1762.0,0.0,8902.0,11.0,15.0,17.0,19.0,18.0,15.0,5.0,2.0,0.0,0.0,2.5649999999999999,2.8900000000000001,3.0449999999999999,3.2189999999999999,3.0449999999999999,2.944,1.946,1.609,0.0,0.0,30.751000000000001,32.262999999999998,1.0489999999999999,1.512,21.234000000000002,11.470000000000001
8,C10H16,11.0,4.0780000000000003,4.9770000000000003,5.9219999999999997,6.8449999999999998,7.7910000000000004,8.7189999999999994,9.6649999999999991,10.593999999999999,11.541,91.129999999999995,10.0,22.0,0.0,102.0,0.0,592.0,0.0,3710.0,0.0,23862.0,11.0,18.0,25.0,28.0,30.0,22.0,10.0,2.0,0.0,0.0,2.5649999999999999,3.0910000000000002,3.4340000000000002,3.6640000000000001,3.8919999999999999,3.6640000000000001,3.0449999999999999,1.609,0.0,0.0,32.121000000000002,34.963000000000001,1.0880000000000001,2.8420000000000001,19.922999999999998,10.646000000000001
9,C10H20O,11.0,4.0069999999999997,4.7960000000000003,5.6799999999999997,6.4909999999999997,7.375,8.1920000000000002,9.0739999999999998,9.8940000000000001,10.775,88.283000000000001,11.0,22.0,0.0,86.0,0.0,400.0,0.0,2014.0,0.0,10542.0,11.0,16.0,17.0,19.0,16.0,10.0,7.0,3.0,0.0,0.0,2.4849999999999999,2.8330000000000002,2.8900000000000001,2.996,2.8330000000000002,2.3980000000000001,2.0790000000000002,1.3859999999999999,0.0,0.0,30.901,30.901,1.0,0.0,21.155999999999999,11.494999999999999
10,C10H20O,11.0,4.0069999999999997,4.7960000000000003,5.6799999999999997,6.4909999999999997,7.375,8.1920000000000002,9.0739999999999998,9.8940000000000001,10.775,88.283000000000001,11.0,22.0,0.0,86.0,0.0,400.0,0.0,2014.0,0.0,10542.0,11.0,16.0,17.0,19.0,16.0,10.0,7.0,3.0,0.0,0.0,2.4849999999999999,2.8330000000000002,2.8900000000000001,2.996,2.8330000000000002,2.3980000000000001,2.0790000000000002,1.3859999999999999,0.0,0.0,30.901,30.901,1.0,0.0,21.155999999999999,11.494999999999999
11,C5H10O2,6.0,3.2959999999999998,3.9700000000000002,4.6909999999999998,5.3979999999999997,6.1200000000000001,6.8339999999999996,7.556,8.2720000000000002,8.9939999999999998,68.132999999999996,7.0,12.0,0.0,40.0,0.0,156.0,0.0,640.0,0.0,2672.0,6.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0790000000000002,2.3029999999999999,2.1970000000000001,1.3859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,14.07,14.965999999999999,1.0640000000000001,0.89600000000000002,12.505000000000001,7.5869999999999997
12,C5H10O2,6.0,3.2959999999999998,3.9700000000000002,4.6909999999999998,5.3979999999999997,6.1200000000000001,6.8339999999999996,7.556,8.2720000000000002,8.9939999999999998,68.132999999999996,7.0,12.0,0.0,40.0,0.0,156.0,0.0,640.0,0.0,2672.0,6.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0790000000000002,2.3029999999999999,2.1970000000000001,1.3859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,14.07,14.965999999999999,1.0640000000000001,0.89600000000000002,12.505000000000001,7.5869999999999997
13,C10H16,11.0,4.0780000000000003,4.9770000000000003,5.9219999999999997,6.8449999999999998,7.7910000000000004,8.7189999999999994,9.6649999999999991,10.593999999999999,11.541,91.129999999999995,10.0,22.0,0.0,102.0,0.0,592.0,0.0,3710.0,0.0,23862.0,11.0,18.0,25.0,28.0,30.0,22.0,10.0,2.0,0.0,0.0,2.5649999999999999,3.0910000000000002,3.4340000000000002,3.6640000000000001,3.8919999999999999,3.6640000000000001,3.0449999999999999,1.609,0.0,0.0,32.121000000000002,34.963000000000001,1.0880000000000001,2.8420000000000001,19.922999999999998,10.646000000000001
14,C13H24O2,14.0,4.1109999999999998,4.8440000000000003,5.609,6.3719999999999999,7.1479999999999997,7.9189999999999996,8.6999999999999993,9.4749999999999996,10.257999999999999,93.436000000000007,15.0,28.0,0.0,92.0,0.0,358.0,0.0,1500.0,0.0,6548.0,14.0,16.0,17.0,15.0,14.0,12.0,8.0,5.0,3.0,1.0,2.8330000000000002,3.0910000000000002,3.258,3.1349999999999998,2.996,2.8900000000000001,2.5649999999999999,2.1970000000000001,1.792,1.099,37.545999999999999,40.856000000000002,1.0880000000000001,3.3109999999999999,28.318000000000001,15.276
15,C8H18O,8.0,3.4340000000000002,4.0430000000000001,4.673,5.3029999999999999,5.9429999999999996,6.5810000000000004,7.2229999999999999,7.8639999999999999,8.5069999999999997,70.570999999999998,9.0,16.0,0.0,44.0,0.0,136.0,0.0,444.0,0.0,1496.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,2.1970000000000001,2.0790000000000002,1.946,1.792,1.609,1.3859999999999999,1.099,0.69299999999999995,0.0,0.0,21.802,21.802,1.0,0.0,16.829999999999998,9.3369999999999997
16,C5H12O,5.0,2.944,3.4969999999999999,4.0780000000000003,4.6539999999999999,5.242,5.8259999999999996,6.415,7.0019999999999998,7.5910000000000002,58.249000000000002,6.0,10.0,0.0,26.0,0.0,76.0,0.0,234.0,0.0,740.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.792,1.609,1.3859999999999999,1.099,0.69299999999999995,0.0,0.0,0.0,0.0,0.0,12.579000000000001,12.579000000000001,1.0,0.0,10.839,6.5090000000000003
17,C8H10O,9.0,3.714,4.4660000000000002,5.2519999999999998,6.0279999999999996,6.8170000000000002,7.5979999999999999,8.3859999999999992,9.1699999999999999,9.9570000000000007,79.388999999999996,9.0,18.0,0.0,62.0,0.0,258.0,0.0,1158.0,0.0,5378.0,9.0,11.0,12.0,12.0,12.0,6.0,4.0,0.0,0.0,0.0,2.5649999999999999,3.02,3.4580000000000002,3.8530000000000002,4.2510000000000003,3.5960000000000001,3.4460000000000002,0.0,0.0,0.0,25.038,33.189,1.3260000000000001,8.1509999999999998,17.529,9.5329999999999995
